industry_text.x,quitsR,date,dataelement_text,industry_text.y,ECI_growth,Is_2021_to_2022
Total nonfarm,0.02175424804982766,2001-06-01,Quits,All industries,0.009132420091324311,FALSE
Total nonfarm,0.02051379349599666,2001-09-01,Quits,All industries,0.009049773755656076,FALSE
Total nonfarm,0.019536588158949496,2001-12-01,Quits,All industries,0.008968609865470878,FALSE
Total nonfarm,0.019071151536478453,2002-03-01,Quits,All industries,0.007777777777777883,FALSE
Total nonfarm,0.019298608082152995,2002-06-01,Quits,All industries,0.009922822491730932,FALSE
Total nonfarm,0.019318303728792778,2002-09-01,Quits,All industries,0.004366812227074357,FALSE
Total nonfarm,0.019169157660764928,2002-12-01,Quits,All industries,0.003260869565217428,FALSE
Total nonfarm,0.01838243763101518,2003-03-01,Quits,All industries,0.010834236186348933,FALSE
Total nonfarm,0.01778143050264225,2003-06-01,Quits,All industries,0.005359056806002238,FALSE
Total nonfarm,0.01807265915302644,2003-09-01,Quits,All industries,0.009594882729211163,FALSE
Total nonfarm,0.01871434587847927,2003-12-01,Quits,All industries,0.0052798310454065245,FALSE
Total nonfarm,0.019689032248225165,2004-03-01,Quits,All industries,0.005252100840336116,FALSE
Total nonfarm,0.020176190729120032,2004-06-01,Quits,All industries,0.007314524555903867,FALSE
Total nonfarm,0.01916233854726609,2004-09-01,Quits,All industries,0.008298755186721962,FALSE
Total nonfarm,0.020319226738443677,2004-12-01,Quits,All industries,0.005144032921810648,FALSE
Total nonfarm,0.020630402619542933,2005-03-01,Quits,All industries,0.0061412487205732,FALSE
Total nonfarm,0.020561445423323877,2005-06-01,Quits,All industries,0.0050864699898269805,FALSE
Total nonfarm,0.022638256125929946,2005-09-01,Quits,All industries,0.006072874493927127,FALSE
Total nonfarm,0.02107856556255133,2005-12-01,Quits,All industries,0.007042253521126751,FALSE
Total nonfarm,0.021728903263745956,2006-03-01,Quits,All industries,0.006993006993007089,FALSE
Total nonfarm,0.02231383134792559,2006-06-01,Quits,All industries,0.007936507936507908,FALSE
Total nonfarm,0.021107408057066013,2006-09-01,Quits,All industries,0.008858267716535417,FALSE
Total nonfarm,0.021850159923644655,2006-12-01,Quits,All industries,0.007804878048780495,FALSE
Total nonfarm,0.02175191064079953,2007-03-01,Quits,All industries,0.00968054211035807,FALSE
Total nonfarm,0.02107596036850339,2007-06-01,Quits,All industries,0.007670182166826356,FALSE
Total nonfarm,0.019485456507099774,2007-09-01,Quits,All industries,0.007611798287345595,FALSE
Total nonfarm,0.02003641671122415,2007-12-01,Quits,All industries,0.007554296506137925,FALSE
Total nonfarm,0.01924704350656396,2008-03-01,Quits,All industries,0.008434864104967188,FALSE
