year,ind2d,theta_WI1_ct,theta_WI2_ct,theta_WI2_xt,theta_WI1_kt,theta_WI2_kt
1955,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1956,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1957,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1958,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1959,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1960,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1961,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1962,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1963,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1964,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1965,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1966,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1967,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1968,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1969,11,.79888213,.63676381,-.058980599,-.092389502,.069323599
1970,11,.75862962,.66402382,.0116943,-.0051655001,-.0082935998
1971,11,.79300898,.68832988,-.000182,.0080118999,.0613968
1972,11,.78164327,.68713439,.0937002,.14831489,.073220603
1973,11,.77246678,.75514162,.3349447,.26627141,.19955181
1974,11,.80538458,.71893328,.35624751,.231635,.0229015
1975,11,.83279061,.70905203,.40197,.58928359,.078638501
1976,11,.83702952,.72245759,.33744401,.34836641,.097408198
1977,11,.84680879,.70768458,.30925691,.36574441,.0549642
1978,11,.87062562,.69797641,.28223851,.069104001,.0088245003
1979,11,.87291092,.70327848,.3197788,.1700038,.056255501
1980,11,.84926832,.69081628,.35558769,.22673871,.043974299
1981,11,.85359991,.68434638,.29165539,.3753449,.24512599
1982,11,.85223389,.67085522,.22844809,.25735241,.27943379
1983,11,.86455989,.69371229,.2332352,.53359592,.31464481
1984,11,.85400081,.67000622,.2408801,.57257599,.42028639
1985,11,.7764309,.60033548,.3079817,.49515271,.30926871
1986,11,.71023858,.54009539,.2712698,.48013631,.2008795
1987,11,.7176711,.56779832,.2476033,.1992514,-.021269901
1988,11,.71019971,.57436091,.25220841,.1901785,-.036420099
1989,11,.69288832,.55668032,.1503315,.28773639,.20768011
1990,11,.70305598,.55363089,.111408,.2177382,.20305739
1991,11,.68087482,.51527148,.1758088,.1757018,.1663831
1992,11,.68722552,.50741923,.25831541,.32475051,.29506731
1993,11,.69417012,.52270132,.25360471,.3386997,.30541179
1994,11,.71227008,.5620622,.28285739,.1619795,.092919998
1995,11,.73141688,.58245617,.25238779,.36128801,.26571491
1996,11,.75412679,.61831069,.2051034,.42405021,.38792571
1997,11,.80024862,.6736269,.14314079,.20971119,.1874046
1998,11,.8243295,.6946795,.16141561,.14546099,.1311423
1999,11,.84642643,.70424968,.1225187,.073638,.2070848
2000,11,.84994513,.71127212,.146071,.2202221,.23970281
2001,11,.8893851,.7097401,.17034221,.069119297,.1419241
2002,11,.90226239,.65533203,.31346279,.086426102,.1485841
2003,11,.92066288,.65028328,.3841109,.1025447,.1173984
2004,11,.92749119,.67004943,.30376831,.1107899,.18460929
