TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,Price,NoteRef,Quantity,date,year,TimePeriod_a
U20404,DGDSRG,2,Goods,"2016
Q1",Fisher Price Index,Level,0,99.518,U20404,94.742,2016-03-01,2016,NA
U20404,DSERRG,150,Services,"2016
Q1",Fisher Price Index,Level,0,96.631,U20404,97.485,2016-03-01,2016,NA
U20404,DGDSRG,2,Goods,"2016
Q2",Fisher Price Index,Level,0,99.96,U20404,95.566,2016-06-01,2016,NA
U20404,DSERRG,150,Services,"2016
Q2",Fisher Price Index,Level,0,97.331,U20404,97.799,2016-06-01,2016,NA
U20404,DGDSRG,2,Goods,"2016
Q3",Fisher Price Index,Level,0,99.566,U20404,96.587,2016-09-01,2016,NA
U20404,DSERRG,150,Services,"2016
Q3",Fisher Price Index,Level,0,98.002,U20404,98.31,2016-09-01,2016,NA
U20404,DGDSRG,2,Goods,"2016
Q4",Fisher Price Index,Level,0,99.797,U20404,97.202,2016-12-01,2016,NA
U20404,DSERRG,150,Services,"2016
Q4",Fisher Price Index,Level,0,98.554,U20404,98.761,2016-12-01,2016,NA
U20404,DGDSRG,2,Goods,"2017
Q1",Fisher Price Index,Level,0,100.331,U20404,98.077,2017-03-01,2017,NA
U20404,DSERRG,150,Services,"2017
Q1",Fisher Price Index,Level,0,99.152,U20404,99.459,2017-03-01,2017,NA
U20404,DGDSRG,2,Goods,"2017
Q2",Fisher Price Index,Level,0,99.712,U20404,99.118,2017-06-01,2017,NA
U20404,DSERRG,150,Services,"2017
Q2",Fisher Price Index,Level,0,99.729,U20404,99.693,2017-06-01,2017,NA
U20404,DGDSRG,2,Goods,"2017
Q3",Fisher Price Index,Level,0,99.744,U20404,100.347,2017-09-01,2017,"2017
Q3"
U20404,DSERRG,150,Services,"2017
Q3",Fisher Price Index,Level,0,100.23,U20404,100.11,2017-09-01,2017,"2017
Q3"
U20404,DGDSRG,2,Goods,"2017
Q4",Fisher Price Index,Level,0,100.213,U20404,102.458,2017-12-01,2017,NA
U20404,DSERRG,150,Services,"2017
Q4",Fisher Price Index,Level,0,100.89,U20404,100.737,2017-12-01,2017,NA
U20404,DGDSRG,2,Goods,"2018
Q1",Fisher Price Index,Level,0,100.748,U20404,103.398,2018-03-01,2018,NA
U20404,DSERRG,150,Services,"2018
Q1",Fisher Price Index,Level,0,101.674,U20404,101.376,2018-03-01,2018,NA
U20404,DGDSRG,2,Goods,"2018
Q2",Fisher Price Index,Level,0,101.012,U20404,103.644,2018-06-01,2018,NA
U20404,DSERRG,150,Services,"2018
Q2",Fisher Price Index,Level,0,102.333,U20404,102.062,2018-06-01,2018,NA
U20404,DGDSRG,2,Goods,"2018
Q3",Fisher Price Index,Level,0,100.84,U20404,104.117,2018-09-01,2018,"2018
Q3"
U20404,DSERRG,150,Services,"2018
Q3",Fisher Price Index,Level,0,102.917,U20404,102.535,2018-09-01,2018,"2018
Q3"
U20404,DGDSRG,2,Goods,"2018
Q4",Fisher Price Index,Level,0,100.644,U20404,104.652,2018-12-01,2018,NA
U20404,DSERRG,150,Services,"2018
Q4",Fisher Price Index,Level,0,103.58,U20404,102.761,2018-12-01,2018,NA
U20404,DGDSRG,2,Goods,"2019
Q1",Fisher Price Index,Level,0,100.239,U20404,104.884,2019-03-01,2019,NA
U20404,DSERRG,150,Services,"2019
Q1",Fisher Price Index,Level,0,104.118,U20404,102.833,2019-03-01,2019,NA
U20404,DGDSRG,2,Goods,"2019
Q2",Fisher Price Index,Level,0,100.661,U20404,106.618,2019-06-01,2019,NA
U20404,DSERRG,150,Services,"2019
Q2",Fisher Price Index,Level,0,104.721,U20404,103.256,2019-06-01,2019,NA
U20404,DGDSRG,2,Goods,"2019
Q3",Fisher Price Index,Level,0,100.339,U20404,108.133,2019-09-01,2019,"2019
Q3"
U20404,DSERRG,150,Services,"2019
Q3",Fisher Price Index,Level,0,105.253,U20404,104.109,2019-09-01,2019,"2019
Q3"
U20404,DGDSRG,2,Goods,"2019
Q4",Fisher Price Index,Level,0,100.469,U20404,108.633,2019-12-01,2019,NA
U20404,DSERRG,150,Services,"2019
Q4",Fisher Price Index,Level,0,105.796,U20404,104.857,2019-12-01,2019,NA
U20404,DGDSRG,2,Goods,"2020
Q1",Fisher Price Index,Level,0,100.178,U20404,108.062,2020-03-01,2020,NA
U20404,DSERRG,150,Services,"2020
Q1",Fisher Price Index,Level,0,106.443,U20404,102.591,2020-03-01,2020,NA
U20404,DGDSRG,2,Goods,"2020
Q2",Fisher Price Index,Level,0,98.701,U20404,105.65,2020-06-01,2020,NA
U20404,DSERRG,150,Services,"2020
Q2",Fisher Price Index,Level,0,106.52,U20404,90.765,2020-06-01,2020,NA
U20404,DGDSRG,2,Goods,"2020
Q3",Fisher Price Index,Level,0,99.694,U20404,117.26,2020-09-01,2020,"2020
Q3"
U20404,DSERRG,150,Services,"2020
Q3",Fisher Price Index,Level,0,107.306,U20404,97.863,2020-09-01,2020,"2020
Q3"
U20404,DGDSRG,2,Goods,"2020
Q4",Fisher Price Index,Level,0,100.009,U20404,118.187,2020-12-01,2020,NA
U20404,DSERRG,150,Services,"2020
Q4",Fisher Price Index,Level,0,107.949,U20404,99.491,2020-12-01,2020,NA
