TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef,date,trendline,category
T20806,DGDSRX,2,Goods,2013M12,Chained Dollars,Level,6,0.7897279785266466,T20806,2013-12-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M01,Chained Dollars,Level,6,0.7844160707192839,T20806,2014-01-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M02,Chained Dollars,Level,6,0.7962516119888223,T20806,2014-02-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M03,Chained Dollars,Level,6,0.802687100064917,T20806,2014-03-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M04,Chained Dollars,Level,6,0.8068983935229983,T20806,2014-04-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M05,Chained Dollars,Level,6,0.8084329543883716,T20806,2014-05-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M06,Chained Dollars,Level,6,0.8127991037604615,T20806,2014-06-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M07,Chained Dollars,Level,6,0.8151145058871494,T20806,2014-07-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M08,Chained Dollars,Level,6,0.8212538429638547,T20806,2014-08-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M09,Chained Dollars,Level,6,0.8192258429148608,T20806,2014-09-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M10,Chained Dollars,Level,6,0.8255180673981932,T20806,2014-10-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M11,Chained Dollars,Level,6,0.8309986106712348,T20806,2014-11-01,NA,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2014M12,Chained Dollars,Level,6,0.8342234632081595,T20806,2014-12-01,0.8368205856160216,Normalized (01/2020 = 100)
T20806,DGDSRX,2,Goods,2015M01,Chained Dollars,Level,6,0.8372976155688812,T20806,2015-01-01,0.8394056022857256,Normalized (01/2020 = 100)
