date,category,monthly_value
2017-01-01,Trimmed Mean PCE,0.025099999999999997
2017-01-01,Median CPI,0.034363058
2017-02-01,Trimmed Mean PCE,0.016399999999999998
2017-02-01,Median CPI,0.032923463
2017-03-01,Trimmed Mean PCE,0.0125
2017-03-01,Median CPI,0.019143837
2017-04-01,Trimmed Mean PCE,0.0184
2017-04-01,Median CPI,0.015536584
2017-05-01,Trimmed Mean PCE,0.0106
2017-05-01,Median CPI,0.021132189
2017-06-01,Trimmed Mean PCE,0.0174
2017-06-01,Median CPI,0.018968338
2017-07-01,Trimmed Mean PCE,0.012
2017-07-01,Median CPI,0.021220937
2017-08-01,Trimmed Mean PCE,0.0204
2017-08-01,Median CPI,0.02274758
2017-09-01,Trimmed Mean PCE,0.0197
2017-09-01,Median CPI,0.028702568
2017-10-01,Trimmed Mean PCE,0.021099999999999997
2017-10-01,Median CPI,0.02424963
2017-11-01,Trimmed Mean PCE,0.0191
2017-11-01,Median CPI,0.02420393
2017-12-01,Trimmed Mean PCE,0.0192
2017-12-01,Median CPI,0.029557472
2018-01-01,Trimmed Mean PCE,0.0298
2018-01-01,Median CPI,0.041700004
2018-02-01,Trimmed Mean PCE,0.019299999999999998
2018-02-01,Median CPI,0.020132793
2018-03-01,Trimmed Mean PCE,0.0184
2018-03-01,Median CPI,0.019619001
2018-04-01,Trimmed Mean PCE,0.0141
2018-04-01,Median CPI,0.029320091
2018-05-01,Trimmed Mean PCE,0.0231
2018-05-01,Median CPI,0.029818326
2018-06-01,Trimmed Mean PCE,0.0219
2018-06-01,Median CPI,0.026321179
2018-07-01,Trimmed Mean PCE,0.0168
2018-07-01,Median CPI,0.021114939
2018-08-01,Trimmed Mean PCE,0.018000000000000002
2018-08-01,Median CPI,0.022967113
2018-09-01,Trimmed Mean PCE,0.0212
2018-09-01,Median CPI,0.023337234
2018-10-01,Trimmed Mean PCE,0.0196
2018-10-01,Median CPI,0.026062627
2018-11-01,Trimmed Mean PCE,0.025099999999999997
2018-11-01,Median CPI,0.037237636
2018-12-01,Trimmed Mean PCE,0.0178
2018-12-01,Median CPI,0.02911777
2019-01-01,Trimmed Mean PCE,0.0148
2019-01-01,Median CPI,0.032309939
2019-02-01,Trimmed Mean PCE,0.0227
2019-02-01,Median CPI,0.030245121
2019-03-01,Trimmed Mean PCE,0.0229
2019-03-01,Median CPI,0.032071445
2019-04-01,Trimmed Mean PCE,0.0321
2019-04-01,Median CPI,0.022774969
2019-05-01,Trimmed Mean PCE,0.0103
2019-05-01,Median CPI,0.025585351
2019-06-01,Trimmed Mean PCE,0.0194
2019-06-01,Median CPI,0.038073452
2019-07-01,Trimmed Mean PCE,0.022400000000000003
2019-07-01,Median CPI,0.02469048
2019-08-01,Trimmed Mean PCE,0.0203
2019-08-01,Median CPI,0.024628291
2019-09-01,Trimmed Mean PCE,0.0125
2019-09-01,Median CPI,0.031506552
2019-10-01,Trimmed Mean PCE,0.0208
2019-10-01,Median CPI,0.025257194
2019-11-01,Trimmed Mean PCE,0.014499999999999999
2019-11-01,Median CPI,0.034502702
2019-12-01,Trimmed Mean PCE,0.0169
2019-12-01,Median CPI,0.026123305
2020-01-01,Trimmed Mean PCE,0.0269
2020-01-01,Median CPI,0.032069756
2020-02-01,Trimmed Mean PCE,0.022799999999999997
2020-02-01,Median CPI,0.027086305
2020-03-01,Trimmed Mean PCE,0.012
2020-03-01,Median CPI,0.029665444
2020-04-01,Trimmed Mean PCE,0.0104
2020-04-01,Median CPI,0.019683735
2020-05-01,Trimmed Mean PCE,0.0215
2020-05-01,Median CPI,0.028950443
2020-06-01,Trimmed Mean PCE,0.018799999999999997
2020-06-01,Median CPI,0.016803702
2020-07-01,Trimmed Mean PCE,0.026600000000000002
2020-07-01,Median CPI,0.036108295
2020-08-01,Trimmed Mean PCE,0.0197
2020-08-01,Median CPI,0.022357233
2020-09-01,Trimmed Mean PCE,0.0165
2020-09-01,Median CPI,0.01133933
2020-10-01,Trimmed Mean PCE,0.01
2020-10-01,Median CPI,0.018384562
2020-11-01,Trimmed Mean PCE,0.0091
2020-11-01,Median CPI,0.012189105
2020-12-01,Trimmed Mean PCE,0.0173
2020-12-01,Median CPI,0.016244821
2021-01-01,Trimmed Mean PCE,0.0226
2021-01-01,Median CPI,0.015243023
2021-02-01,Trimmed Mean PCE,0.0239
2021-02-01,Median CPI,0.028103907
2021-03-01,Trimmed Mean PCE,0.0223
2021-03-01,Median CPI,0.023566513
2021-04-01,Trimmed Mean PCE,0.025
2021-04-01,Median CPI,0.027458149
2021-05-01,Trimmed Mean PCE,0.0329
2021-05-01,Median CPI,0.033384735
2021-06-01,Trimmed Mean PCE,0.0264
2021-06-01,Median CPI,0.031694933
2021-07-01,Trimmed Mean PCE,0.0339
2021-07-01,Median CPI,0.035810455
2021-08-01,Trimmed Mean PCE,0.032
2021-08-01,Median CPI,0.040220377
2021-09-01,Trimmed Mean PCE,0.0432
2021-09-01,Median CPI,0.05054275
2021-10-01,Trimmed Mean PCE,0.042800000000000005
2021-10-01,Median CPI,0.076628526
2021-11-01,Trimmed Mean PCE,0.0417
2021-11-01,Median CPI,0.062450704
2021-12-01,Trimmed Mean PCE,0.044500000000000005
2021-12-01,Median CPI,0.056117971
2022-01-01,Trimmed Mean PCE,0.0676
2022-01-01,Median CPI,0.069928263
2022-02-01,Trimmed Mean PCE,0.0414
2022-02-01,Median CPI,0.065195546
2022-03-01,Trimmed Mean PCE,0.032
2022-03-01,Median CPI,0.063502494
2022-04-01,Trimmed Mean PCE,0.030899999999999997
2022-04-01,Median CPI,0.060303202
2022-05-01,Trimmed Mean PCE,0.056600000000000004
2022-05-01,Median CPI,0.075039441
2022-06-01,Trimmed Mean PCE,0.0717
2022-06-01,Median CPI,0.079249192
2022-07-01,Trimmed Mean PCE,0.0382
2022-07-01,Median CPI,0.06423611
2022-08-01,Trimmed Mean PCE,0.0602
2022-08-01,Median CPI,0.084639175
2022-09-01,Trimmed Mean PCE,0.0408
2022-09-01,Median CPI,0.083829643
2022-10-01,Trimmed Mean PCE,0.045700000000000005
2022-10-01,Median CPI,0.06507748
2022-11-01,Trimmed Mean PCE,0.0358
2022-11-01,Median CPI,0.057657702
2022-12-01,Trimmed Mean PCE,0.0415
2022-12-01,Median CPI,0.07049161
2023-01-01,Trimmed Mean PCE,0.0604
2023-01-01,Median CPI,0.081424954
2023-02-01,Trimmed Mean PCE,0.0434
2023-02-01,Median CPI,0.078804959
2023-03-01,Trimmed Mean PCE,0.04
2023-03-01,Median CPI,0.049070545
2023-04-01,Trimmed Mean PCE,0.041100000000000005
2023-04-01,Median CPI,0.049115951
2023-05-01,Trimmed Mean PCE,0.0341
2023-05-01,Median CPI,0.046556863
2023-06-01,Trimmed Mean PCE,0.0259
2023-06-01,Median CPI,0.043554472
2023-07-01,Trimmed Mean PCE,0.023700000000000002
2023-07-01,Median CPI,0.022836392
