date,supply_chains,month,year
31-Jan-1998,-0.92,1,1998
28-Feb-1998,-0.43,2,1998
31-Mar-1998,-0.09,3,1998
30-Apr-1998,-0.13,4,1998
31-May-1998,-0.51,5,1998
30-Jun-1998,-0.78,6,1998
31-Jul-1998,-0.93,7,1998
31-Aug-1998,-0.95,8,1998
30-Sep-1998,-0.93,9,1998
31-Oct-1998,-0.74,10,1998
30-Nov-1998,-0.84,11,1998
31-Dec-1998,-0.64,12,1998
31-Jan-1999,-0.29,1,1999
28-Feb-1999,-0.04,2,1999
31-Mar-1999,-0.30,3,1999
30-Apr-1999,-0.32,4,1999
31-May-1999,-0.34,5,1999
30-Jun-1999,-0.39,6,1999
31-Jul-1999,-0.61,7,1999
31-Aug-1999,-0.45,8,1999
30-Sep-1999,-0.30,9,1999
31-Oct-1999,-0.10,10,1999
30-Nov-1999,-0.06,11,1999
31-Dec-1999,-0.02,12,1999
31-Jan-2000,-0.48,1,2000
29-Feb-2000,-0.28,2,2000
31-Mar-2000,-0.25,3,2000
30-Apr-2000,0.11,4,2000
31-May-2000,0.19,5,2000
30-Jun-2000,-0.10,6,2000
31-Jul-2000,-0.12,7,2000
31-Aug-2000,-0.08,8,2000
30-Sep-2000,-0.19,9,2000
31-Oct-2000,-0.64,10,2000
30-Nov-2000,-0.88,11,2000
31-Dec-2000,-1.10,12,2000
31-Jan-2001,-1.12,1,2001
28-Feb-2001,-0.94,2,2001
31-Mar-2001,-0.93,3,2001
30-Apr-2001,-1.15,4,2001
31-May-2001,-1.24,5,2001
30-Jun-2001,-0.82,6,2001
31-Jul-2001,-0.80,7,2001
31-Aug-2001,-0.68,8,2001
30-Sep-2001,-0.62,9,2001
31-Oct-2001,-1.13,10,2001
30-Nov-2001,-1.22,11,2001
31-Dec-2001,-1.04,12,2001
31-Jan-2002,-0.79,1,2002
28-Feb-2002,-0.31,2,2002
31-Mar-2002,-0.32,3,2002
30-Apr-2002,-0.42,4,2002
31-May-2002,-0.18,5,2002
30-Jun-2002,-0.44,6,2002
31-Jul-2002,-0.83,7,2002
31-Aug-2002,-0.95,8,2002
30-Sep-2002,-0.98,9,2002
31-Oct-2002,-1.15,10,2002
30-Nov-2002,-0.75,11,2002
31-Dec-2002,-0.57,12,2002
31-Jan-2003,-0.47,1,2003
28-Feb-2003,-0.35,2,2003
31-Mar-2003,-0.24,3,2003
30-Apr-2003,-0.50,4,2003
31-May-2003,-0.22,5,2003
30-Jun-2003,-0.17,6,2003
31-Jul-2003,-0.08,7,2003
31-Aug-2003,-0.14,8,2003
30-Sep-2003,0.01,9,2003
31-Oct-2003,-0.22,10,2003
30-Nov-2003,-0.30,11,2003
31-Dec-2003,-0.22,12,2003
31-Jan-2004,-0.37,1,2004
29-Feb-2004,-0.24,2,2004
31-Mar-2004,0.12,3,2004
30-Apr-2004,0.51,4,2004
31-May-2004,0.46,5,2004
30-Jun-2004,0.44,6,2004
31-Jul-2004,-0.36,7,2004
31-Aug-2004,0.17,8,2004
30-Sep-2004,-0.05,9,2004
31-Oct-2004,-0.61,10,2004
30-Nov-2004,-0.02,11,2004
31-Dec-2004,0.14,12,2004
31-Jan-2005,-0.16,1,2005
28-Feb-2005,-0.23,2,2005
31-Mar-2005,-0.29,3,2005
30-Apr-2005,-1.36,4,2005
31-May-2005,-1.08,5,2005
30-Jun-2005,-0.96,6,2005
31-Jul-2005,-0.98,7,2005
31-Aug-2005,-0.66,8,2005
30-Sep-2005,0.02,9,2005
31-Oct-2005,-0.06,10,2005
30-Nov-2005,-0.65,11,2005
31-Dec-2005,-0.67,12,2005
31-Jan-2006,-0.33,1,2006
28-Feb-2006,-0.63,2,2006
31-Mar-2006,-0.43,3,2006
30-Apr-2006,0.02,4,2006
31-May-2006,0.08,5,2006
30-Jun-2006,0.08,6,2006
31-Jul-2006,-0.15,7,2006
31-Aug-2006,0.04,8,2006
30-Sep-2006,-0.58,9,2006
31-Oct-2006,-0.45,10,2006
30-Nov-2006,-0.24,11,2006
31-Dec-2006,-0.48,12,2006
31-Jan-2007,-0.87,1,2007
28-Feb-2007,-0.74,2,2007
31-Mar-2007,-0.54,3,2007
30-Apr-2007,-0.74,4,2007
31-May-2007,-0.33,5,2007
30-Jun-2007,-0.38,6,2007
31-Jul-2007,-0.38,7,2007
31-Aug-2007,-0.08,8,2007
30-Sep-2007,-0.09,9,2007
31-Oct-2007,-0.63,10,2007
30-Nov-2007,-0.48,11,2007
31-Dec-2007,-0.17,12,2007
31-Jan-2008,-0.35,1,2008
29-Feb-2008,0.38,2,2008
31-Mar-2008,0.14,3,2008
30-Apr-2008,0.11,4,2008
31-May-2008,-0.13,5,2008
30-Jun-2008,0.20,6,2008
31-Jul-2008,0.92,7,2008
31-Aug-2008,0.19,8,2008
30-Sep-2008,-0.59,9,2008
31-Oct-2008,-1.03,10,2008
30-Nov-2008,-1.59,11,2008
31-Dec-2008,-0.76,12,2008
31-Jan-2009,-0.50,1,2009
28-Feb-2009,-0.62,2,2009
31-Mar-2009,0.01,3,2009
30-Apr-2009,0.67,4,2009
31-May-2009,0.19,5,2009
30-Jun-2009,-0.61,6,2009
31-Jul-2009,-0.83,7,2009
31-Aug-2009,-1.16,8,2009
30-Sep-2009,-0.52,9,2009
31-Oct-2009,-0.48,10,2009
30-Nov-2009,-0.80,11,2009
31-Dec-2009,-0.63,12,2009
31-Jan-2010,-0.30,1,2010
28-Feb-2010,-0.13,2,2010
31-Mar-2010,0.39,3,2010
30-Apr-2010,0.30,4,2010
31-May-2010,0.42,5,2010
30-Jun-2010,-0.03,6,2010
31-Jul-2010,0.03,7,2010
31-Aug-2010,0.33,8,2010
30-Sep-2010,0.37,9,2010
31-Oct-2010,0.66,10,2010
30-Nov-2010,0.42,11,2010
31-Dec-2010,0.68,12,2010
31-Jan-2011,0.81,1,2011
28-Feb-2011,0.36,2,2011
31-Mar-2011,0.70,3,2011
30-Apr-2011,1.54,4,2011
31-May-2011,0.90,5,2011
30-Jun-2011,0.17,6,2011
31-Jul-2011,0.26,7,2011
31-Aug-2011,-0.11,8,2011
30-Sep-2011,-0.57,9,2011
31-Oct-2011,-0.37,10,2011
30-Nov-2011,0.10,11,2011
31-Dec-2011,-0.05,12,2011
31-Jan-2012,0.38,1,2012
29-Feb-2012,-0.02,2,2012
31-Mar-2012,-0.37,3,2012
30-Apr-2012,-0.31,4,2012
31-May-2012,-0.68,5,2012
30-Jun-2012,-0.68,6,2012
31-Jul-2012,-0.67,7,2012
31-Aug-2012,-0.14,8,2012
30-Sep-2012,-0.25,9,2012
31-Oct-2012,-0.02,10,2012
30-Nov-2012,-0.35,11,2012
31-Dec-2012,-0.16,12,2012
31-Jan-2013,-0.04,1,2013
28-Feb-2013,-0.38,2,2013
31-Mar-2013,-0.52,3,2013
30-Apr-2013,-0.71,4,2013
31-May-2013,-0.81,5,2013
30-Jun-2013,-0.63,6,2013
31-Jul-2013,-0.64,7,2013
31-Aug-2013,-0.53,8,2013
30-Sep-2013,-0.28,9,2013
31-Oct-2013,-0.16,10,2013
30-Nov-2013,-0.66,11,2013
31-Dec-2013,-0.49,12,2013
31-Jan-2014,-0.62,1,2014
28-Feb-2014,-0.28,2,2014
31-Mar-2014,-0.60,3,2014
30-Apr-2014,-0.81,4,2014
31-May-2014,-0.78,5,2014
30-Jun-2014,-0.65,6,2014
31-Jul-2014,-0.77,7,2014
31-Aug-2014,-0.60,8,2014
30-Sep-2014,-0.78,9,2014
31-Oct-2014,-0.55,10,2014
30-Nov-2014,-0.93,11,2014
31-Dec-2014,-0.36,12,2014
31-Jan-2015,-0.48,1,2015
28-Feb-2015,-0.30,2,2015
31-Mar-2015,-0.38,3,2015
30-Apr-2015,-0.33,4,2015
31-May-2015,-0.51,5,2015
30-Jun-2015,-0.82,6,2015
31-Jul-2015,-0.39,7,2015
31-Aug-2015,-0.66,8,2015
30-Sep-2015,-0.40,9,2015
31-Oct-2015,-0.22,10,2015
30-Nov-2015,-0.63,11,2015
31-Dec-2015,-0.57,12,2015
31-Jan-2016,-0.75,1,2016
29-Feb-2016,-0.72,2,2016
31-Mar-2016,-0.63,3,2016
