Month,YYYY,PX_MD,PX5_MD
January,1978,5.2,
February,1978,6.4,
March,1978,6.3,
April,1978,6.7,
May,1978,6.9,
June,1978,6.5,
July,1978,6.6,
August,1978,8.7,
September,1978,6.9,
October,1978,7.4,
November,1978,7.5,
December,1978,7.3,
January,1979,7.8,
February,1979,9.3,7.2
March,1979,8.8,
April,1979,9.7,
May,1979,9.8,
June,1979,9.9,
July,1979,9.9,
August,1979,9.9,
September,1979,9.6,
October,1979,9,
November,1979,10,
December,1979,9.9,
January,1980,10.4,
February,1980,10,9.7
March,1980,10.2,
April,1980,10.1,
May,1980,8.6,
June,1980,8.5,
July,1980,9.6,
August,1980,7.6,8.7
September,1980,9.1,9.3
October,1980,9.6,
November,1980,8.6,
December,1980,9.7,
January,1981,9.5,7.4
February,1981,8.6,6.7
March,1981,7.2,5.9
April,1981,8,
May,1981,7.3,
June,1981,7.1,
July,1981,6.8,5.8
August,1981,5.8,6.7
September,1981,6.9,6.5
October,1981,6.7,
November,1981,7.3,
December,1981,5.3,
January,1982,5.1,6.1
February,1982,5.2,5.9
March,1982,4.2,5
April,1982,4.7,
May,1982,3.5,
June,1982,4.6,
July,1982,5,5.3
August,1982,4.8,5.4
September,1982,4.5,5.1
October,1982,4.7,
November,1982,4.5,
December,1982,3.7,
January,1983,2.8,5
February,1983,3,4.8
March,1983,1.8,4.9
April,1983,3.4,
May,1983,3.2,
June,1983,3.2,
July,1983,3.2,5
August,1983,3.3,4.9
September,1983,3.3,5
October,1983,3.7,
November,1983,3.5,
December,1983,3.5,
January,1984,3.2,4.9
February,1984,3.3,5
March,1984,3.4,5
April,1984,3.9,
May,1984,4.2,
June,1984,4.2,
July,1984,3.4,5.1
August,1984,3,4.9
September,1984,3,4.9
October,1984,3.5,
November,1984,3.4,
December,1984,3.3,
January,1985,2.9,4.7
February,1985,3.1,4.8
March,1985,3,4.7
April,1985,3.3,
May,1985,3.2,
June,1985,3.4,
July,1985,2.8,4.6
August,1985,2.8,4.7
September,1985,2.9,4.7
October,1985,3.3,
November,1985,3.1,
December,1985,3.5,
January,1986,2.9,
February,1986,2.8,
March,1986,2.3,3.8
April,1986,2.4,
May,1986,2.7,
June,1986,2.9,3.9
July,1986,2.8,
August,1986,3,
September,1986,2.9,4
October,1986,3.2,
November,1986,2.8,
December,1986,3,3.8
January,1987,2.9,
February,1987,3.1,
March,1987,3,3.9
April,1987,3,
May,1987,3.4,
June,1987,3.3,4.3
July,1987,3.1,
August,1987,3.2,
September,1987,3,3.4
October,1987,3.3,
November,1987,3.2,
December,1987,3.1,4.1
January,1988,3.2,
February,1988,3.1,
March,1988,3.2,
April,1988,3.3,
May,1988,3.3,
June,1988,3.7,
July,1988,4.6,
August,1988,4.4,
September,1988,3.9,
October,1988,3.9,
November,1988,3.7,
December,1988,3.9,
January,1989,3.5,
February,1989,4.1,
March,1989,3.7,
April,1989,4.3,
May,1989,4.6,
June,1989,3.8,
July,1989,4.1,
August,1989,3.5,
September,1989,3.4,
October,1989,3.6,
November,1989,3.5,
December,1989,3.5,
January,1990,4.1,
February,1990,4.1,
March,1990,3.7,
April,1990,3.6,4
May,1990,3.4,4.3
June,1990,3.8,4.6
July,1990,3.4,4.2
August,1990,4.6,4.6
September,1990,4.7,4.7
October,1990,4.8,4.6
November,1990,4.7,4.6
December,1990,4.7,4.5
January,1991,3.9,4.6
February,1991,3.4,4.6
March,1991,3.3,4.6
April,1991,3.2,4.2
May,1991,3.1,4.4
June,1991,3.3,4.5
July,1991,3.1,4.2
August,1991,3.2,4
September,1991,3,3.9
October,1991,3.2,3.7
November,1991,2.9,3.8
December,1991,2.7,3.8
January,1992,2.7,3.6
February,1992,2.6,3.4
March,1992,2.6,3.6
April,1992,3,3.9
May,1992,2.9,4
June,1992,3.1,3.4
July,1992,2.7,3.7
August,1992,2.8,4.2
September,1992,3,3.5
October,1992,2.8,3.7
November,1992,2.9,3.7
December,1992,2.8,3.4
January,1993,2.9,3.4
February,1993,3.2,4.1
March,1993,3.1,3.6
April,1993,3,3.5
May,1993,2.9,3.5
June,1993,3.5,3.8
July,1993,3,3.5
August,1993,3.2,3.3
September,1993,3,3.3
October,1993,3.3,3.5
November,1993,2.8,3.4
December,1993,3,3.6
January,1994,2.8,3.2
February,1994,2.8,3.3
March,1994,3,3.4
April,1994,3,3.2
May,1994,3.1,3.4
June,1994,2.7,3.4
July,1994,2.9,3.2
August,1994,3.1,3.5
September,1994,3.4,3.2
October,1994,3,3.3
November,1994,3.2,3.2
December,1994,3,3.2
January,1995,3,3.2
February,1995,3,3.2
March,1995,3.2,3.3
April,1995,3.3,3.5
May,1995,3,3.2
June,1995,2.9,3.1
July,1995,2.9,3.2
August,1995,2.9,3.1
September,1995,2.8,3.1
October,1995,2.9,3.2
November,1995,2.8,3.1
December,1995,2.7,3.1
January,1996,2.8,3.2
February,1996,2.8,3.3
March,1996,2.9,3.2
April,1996,3,3
May,1996,3.1,3.3
June,1996,2.9,3.1
July,1996,3,3.2
August,1996,3.1,3.3
September,1996,3.2,3.2
October,1996,3,3
November,1996,3,3
December,1996,3,3
January,1997,3,3.2
February,1997,3,3.1
March,1997,2.8,3
April,1997,3,2.9
May,1997,2.9,3
June,1997,2.8,3.1
July,1997,2.7,2.9
August,1997,2.7,3
September,1997,2.8,3.1
