ind_lbl,y2019,y2024,change,pct_change,type
"Managers in Marketing, Advertising, and Public Relations",111612.50201666667,98886.804625,-12725.697391666661,-11.401677376398553,Occupation
Purchasing Managers,11692.889016666668,10622.533383333333,-1070.3556333333345,-9.153902271779746,Occupation
Food Service and Lodging Managers,46498.977025,37557.998816666666,-8940.978208333334,-19.22833313843926,Occupation
"Property, Real Estate, and Community Association Managers",24305.215816666667,22905.39643333333,-1399.8193833333353,-5.759337394459364,Occupation
Social and Community Service Managers,27454.737091666666,23112.156916666667,-4342.580174999999,-15.817234601449169,Occupation
"Agents and Business Managers of Artists, Performers, and Athletes",4085.0102875000002,3295.67715,-789.3331375000002,-19.322671962793688,Occupation
"Wholesale and Retail Buyers, Except Farm Products",20894.423125,7583.65873,-13310.764395000002,-63.70486667839029,Occupation
"Compliance Officers, Except Agriculture",17256.048733333333,9822.054541666666,-7433.994191666667,-43.08051226875882,Occupation
Logisticians,14536.971158333334,4947.7379,-9589.233258333334,-65.96445128692642,Occupation
Meeting and Convention Planners,45906.79430833334,27589.990775,-18316.80353333334,-39.8999838897667,Occupation
Budget Analysts,6793.919163636363,5753.301866666667,-1040.6172969696963,-15.316892531478377,Occupation
Personal Financial Advisors,53164.153341666664,42396.86835,-10767.284991666667,-20.252904099627518,Occupation
Insurance Underwriters,14428.06810909091,12286.73225,-2141.33585909091,-14.841459320126765,Occupation
Credit Counselors and Loan Officers,32514.99816666667,12073.085625,-20441.912541666672,-62.86917943800797,Occupation
"Tax Examiners and Collectors, and Revenue Agents",4169.53454,3999.95945,-169.57508999999982,-4.0670028842116235,Occupation
Computer Programmers,34960.38633333333,29571.231133333335,-5389.155199999994,-15.41503331403878,Occupation
Network and Computer Systems Administrators,10533.903216666668,7808.357388888889,-2725.545827777779,-25.874035214842674,Occupation
Operations Research Analysts,17465.633216666665,13392.379375,-4073.253841666665,-23.321535446992797,Occupation
Chemical Engineers,15658.944041666666,9880.05005,-5778.893991666666,-36.904748981091494,Occupation
Materials Engineers,7215.0765833333335,5672.869769999999,-1542.2068133333341,-21.374780926037538,Occupation
"Petroleum, mining and geological engineers, including mining safety engineers",5387.249366666667,2484.9195125,-2902.329854166667,-53.874058106994006,Occupation
Drafters,8308.275116666666,6900.1650666666665,-1408.1100499999993,-16.948283852267792,Occupation
"Engineering Technicians, Except Drafters",30881.165116666667,19686.322216666667,-11194.8429,-36.251361817815955,Occupation
Agricultural and Food Scientists,8030.412125,7423.97615,-606.4359749999994,-7.551741623721453,Occupation
"Medical Scientists, and Life Scientists, All Other",31633.5207,9134.756355555555,-22498.764344444447,-71.12317518436842,Occupation
Chemists and Materials Scientists,12700.377458333332,8262.91402,-4437.463438333332,-34.93961854985418,Occupation
Environmental Scientists and Geoscientists,16375.071591666667,16161.688875,-213.38271666666697,-1.303094862652437,Occupation
