SEX,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
0,0,3735085,3703341,3572166,3680587,3653650,3615598
0,1,3777552,3764698,3708865,3602662,3720079,3701824
0,2,3873736,3854287,3771032,3738864,3642354,3768012
0,3,3966696,3933667,3860489,3800263,3778530,3690129
0,4,4049711,4038296,3939654,3888578,3837784,3823751
0,5,4078129,4074896,4044039,3966181,3924020,3880536
0,6,4048712,4063071,4080393,4069107,4000239,3965148
0,7,4054232,4050053,4068326,4104251,4101661,4039527
0,8,4073479,4057336,4055184,4091521,4135609,4139497
0,9,4114609,4102425,4062356,4077757,4122524,4172964
0,10,4212820,4188710,4107217,4084022,4106729,4157482
0,11,4322026,4278752,4193423,4128635,4111654,4140092
0,12,4453398,4442278,4283303,4214126,4155465,4144127
0,13,4431685,4432504,4446559,4303081,4240124,4187019
0,14,4332210,4354881,4436807,4466391,4329689,4272434
0,15,4295620,4308585,4359523,4458348,4494279,4363695
0,16,4332482,4330027,4313684,4384332,4489876,4532690
0,17,4273960,4288964,4336364,4344482,4424149,4538195
0,18,4296368,4271103,4296058,4374231,4393823,4484083
0,19,4364964,4348755,4277402,4336001,4425946,4457162
0,20,4320696,4349663,4353987,4313393,4386078,4485953
0,21,4286767,4279097,4353671,4391848,4364745,4448786
0,22,4261051,4269126,4284186,4394844,4447974,4433302
0,23,4279535,4276341,4275374,4327157,4455385,4521959
0,24,4330323,4305770,4283297,4319368,4389265,4531936
0,25,4397955,4384350,4312592,4329115,4382227,4466652
0,26,4491891,4478572,4390897,4359132,4391431,4458803
0,27,4580233,4552876,4484823,4435525,4420485,4467098
0,28,4674071,4659078,4557973,4528134,4496301,4496349
0,29,4748157,4730228,4663126,4600914,4587778,4570974
0,30,4712344,4746258,4733587,4703926,4658544,4660190
0,31,4601365,4613652,4748277,4771910,4759307,4727791
0,32,4524156,4534683,4615311,4783704,4824773,4825625
0,33,4481746,4486041,4535004,4647963,4833503,4888155
0,34,4504747,4497819,4485596,4564211,4694268,4892227
0,35,4463503,4496013,4496090,4511375,4605627,4747023
0,36,4419225,4403572,4493221,4519082,4549695,4654566
0,37,4480879,4470601,4400124,4513299,4553624,4594689
