Name,Organization,rGDP_YOY_2025_April,unrate_Dec25_AApril,core_PCE_4Q_4Q_2025_April,PCE_4Q_4Q_2025_April,
Bill Adams,Comerica Bank,1.40,4.20,4.10,4.10,
Eugenio J. Alemán/Giampiero Fuentes,Raymond James Financial,0.50,4.30,3.49,3.55,
Paul Ashworth,Capital Economics,1.60,4.20,3.60,3.00,
Bernard Baumohl,The Economic Outlook Group,0.70,4.70,5.00,4.60,
David W. Berson,Cumberland Advisors,1.10,4.30,3.50,3.30,
Wayne Best/Michael Brown,Visa,1.20,4.30,3.30,3.00,
Brian Bethune*,Boston College Economics,,,,,
Steven Blitz,TS Lombard,0.40,4.20,2.70,1.50,
BofA Securities,BofA Securities,1.80,4.20,3.00,2.90,
Clement Bohr,UCLA Anderson Forecast,1.55,4.31,3.75,3.72,
Kathy Bostjancic,Nationwide,0.00,4.40,5.00,4.70,
Joe Brusuelas,RSM US,-0.50,4.70,4.00,3.50,
Jay Bryson,Wells Fargo,0.10,4.30,3.30,2.80,
Mike Cosgrove,The Econoclast ,0.50,4.40,3.50,3.20,
Kevin Cummins,NatWest Markets,1.20,4.30,3.60,1.20,
Amy Crews Cutts,AC Cutts & Associates,-2.00,4.80,5.00,5.40,
Gregory Daco,EY-Parthenon,0.20,4.50,3.30,3.40,
Joseph Davis,Vanguard,0.75,4.50,3.90,3.70,
Rajeev Dhawan,Georgia State University,1.20,4.30,2.50,1.60,
Robert Dietz*,National Association of Home Builders,,,,,
James Egelhof,BNP Paribas,,,,,
Augustine Faucher,PNC Financial Services Group,1.80,4.20,2.70,2.80,
Matthew Fienup/Dan Hamilton,California Lutheran University,0.80,4.14,3.85,3.00,
Mike Fratantoni ,Mortgage Bankers Association ,0.30,4.60,4.70,4.90,
Robert Fry,Robert Fry Economics,0.30,4.30,3.70,3.70,
Stephen Gallagher,Societe Generale,1.50,4.10,2.80,2.60,
Michael Gapen,Morgan Stanley,0.80,4.20,3.90,0.30,
Robyn Gibbard,Deloitte,1.80,4.50,2.90,2.60,
Timothy Gill,American Financial Services Association,-0.80,4.40,4.60,3.80,
Jan Hatzius,Goldman Sachs,0.46,4.47,3.52,3.46,
Selma Hepp,Cotality,1.70,4.60,3.00,3.20,
Ben Herzon/Patrick Newport,S&P Global Market Intelligence,0.70,4.30,4.00,3.90,
Andrew Hollenhorst/Veronica Clark,Citigroup,0.10,4.60,3.50,3.30,
Derek Holt*,Scotiabank,,,,,
Jack Kleinhenz,National Retail Federation,1.00,4.20,2.80,2.50,
James Knightley,ING Financial Markets,0.20,4.40,3.80,3.60,
John Lonski,The Lonski Group,1.70,4.30,2.90,2.80,
Daniil Manaenkov*,"Research Seminar in Quantitative Economics, University of Michigan",,,,,
Patrick Manzi,National Automobile Dealers Association,0.80,5.00,4.20,4.00,
Philip Marey*,Rabobank,,,,,
Drew T. Matus*,MetLife Investment Management,,,,,
Chad Moutray,National Restaurant Association,-0.10,4.30,3.80,3.60,
Joel Naroff,Naroff Economics,0.40,4.40,,2.10,
Mark Palim,Fannie Mae,0.42,4.40,3.31,3.24,
Satyam Panday*,S&P Global Ratings,,,,,
Lindsey Piegza,Stifel,1.80,4.60,3.30,3.40,
Jonathan Pingle,UBS Securities,0.40,4.20,4.60,4.30,
Doug Porter/Scott Anderson,BMO Capital Markets,0.60,4.40,4.00,3.80,
Russell Price,Ameriprise Financial,1.00,4.40,3.20,3.20,
Belinda Román,"St. Mary’s University College of Arts, Humanities and Social Sciences",2.90,4.17,2.90,3.30,
Stephanie Roth,Wolfe Research,0.60,4.38,3.70,3.34,
Brett Ryan/Matthew Luzzetti*,Deutsche Bank Securities,,,,,
Yelena Shulyatyeva,The Conference Board,1.10,4.30,3.10,3.00,
Allen Sinai,Decision Economics,1.90,4.40,3.20,2.80,
James F. Smith,EconForecaster,3.10,3.90,2.20,1.80,
Sean M. Snaith,University of Central Florida,1.80,4.20,3.00,3.00,
Sung Won Sohn,SS Economics,1.00,4.20,2.70,2.80,
Stephen Stanley,Santander US Capital Markets,1.50,4.30,3.20,3.10,
Susan M. Sterne,Economic Analysis Associates,-0.40,4.20,2.00,1.90,
Carlton M. Strong,JPMorgan,-0.25,4.20,4.30,0.00,
Ryan Sweet,Oxford Economics,0.52,4.28,4.02,3.42,
Kevin Swift,Independent Commodity Intelligence Services,1.00,4.30,3.50,3.60,
Diane Swonk,KPMG,-0.90,4.50,4.50,4.30,
Carl Tannenbaum,Northern Trust,0.80,4.50,4.80,4.20,
David Teolis/Paul Traub,ACT Research,0.00,4.60,4.10,3.80,
Christopher Thornberg,Beacon Economics,1.30,4.30,3.10,2.80,
Luke Tilley,Wilmington Trust Investment Advisors,-0.25,4.40,2.10,2.00,
Samuel Tombs,Pantheon Macroeconomics,0.90,4.30,3.40,3.30,
U.S. Economics,Nomura Securities International,0.60,4.30,4.50,4.00,
Nicholas Van Ness,Credit Agricole CIB,1.30,4.40,3.20,3.00,
Jordan Vickers*,Eaton,,,,,
Lawrence Werther*,Daiwa Capital Markets America,,,,,
Brian S. Wesbury/Robert Stein,First Trust Advisors,0.70,4.40,2.40,2.40,
Lawrence Yun*,National Association of Realtors,,,,,
Mark Zandi,Moody's Analytics,0.63,4.10,2.91,3.46,
,,,,,,
,,,,,,
,April 2025,0.78,4.36,3.52,3.15,
,,,,,,
,January 2025,2.05,4.24,2.55,2.43,
,October 2024,1.92,4.36,2.13,2.05,
,July 2024,1.90,4.25,2.17,2.13,
