
bls_area_name,bls_target,census_area_name,match_score,method
"Anniston-Oxford, AL","Anniston-Oxford, AL","Anniston-Oxford, AL",100.0,exact
"Auburn-Opelika, AL","Auburn-Opelika, AL","Auburn-Opelika, AL",100.0,exact
"Birmingham, AL","Birmingham, AL","Birmingham, AL",100.0,exact
"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL",100.0,exact
"Decatur, AL","Decatur, AL","Decatur, AL",100.0,exact
"Dothan, AL","Dothan, AL","Dothan, AL",100.0,exact
"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL",100.0,exact
"Gadsden, AL","Gadsden, AL","Gadsden, AL",100.0,exact
"Huntsville, AL","Huntsville, AL","Huntsville, AL",100.0,exact
"Mobile, AL","Mobile, AL","Mobile, AL",100.0,exact
"Montgomery, AL","Montgomery, AL","Montgomery, AL",100.0,exact
"Tuscaloosa, AL","Tuscaloosa, AL","Tuscaloosa, AL",100.0,exact
"Anchorage, AK","Anchorage, AK","Anchorage, AK",100.0,exact
"Fairbanks-College, AK","Fairbanks-College, AK","Fairbanks-College, AK",100.0,exact
"Flagstaff, AZ","Flagstaff, AZ","Flagstaff, AZ",100.0,exact
"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ",100.0,exact
"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ",100.0,exact
"Prescott Valley-Prescott, AZ","Prescott Valley-Prescott, AZ","Prescott Valley-Prescott, AZ",100.0,exact
"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ",100.0,exact
"Tucson, AZ","Tucson, AZ","Tucson, AZ",100.0,exact
"Yuma, AZ","Yuma, AZ","Yuma, AZ",100.0,exact
"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR",100.0,exact
"Fort Smith, AR-OK","Fort Smith, AR-OK","Fort Smith, AR-OK Metro Area, AR",100.0,add metro area
"Hot Springs, AR","Hot Springs, AR","Hot Springs, AR",100.0,exact
"Jonesboro, AR","Jonesboro, AR","Jonesboro, AR",100.0,exact
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",100.0,exact
"Anaheim-Santa Ana-Irvine, CA Metropolitan Division","Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",100.0,exact
"Bakersfield-Delano, CA","Bakersfield-Delano, CA","Bakersfield-Delano, CA",100.0,exact
"Chico, CA","Chico, CA","Chico, CA",100.0,exact
"El Centro, CA","El Centro, CA","El Centro, CA",100.0,exact
"Fresno, CA","Fresno, CA","Fresno, CA",100.0,exact
"Hanford-Corcoran, CA","Hanford-Corcoran, CA","Hanford-Corcoran, CA",100.0,exact
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",100.0,exact
"Los Angeles-Long Beach-Glendale, CA Metropolitan Division","Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",100.0,exact
"Merced, CA","Merced, CA","Merced, CA",100.0,exact
"Modesto, CA","Modesto, CA","Modesto, CA",100.0,exact
"Napa, CA","Napa, CA","Napa, CA",100.0,exact
"Oakland-Fremont-Berkeley, CA Metropolitan Division","San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",100.0,exact
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",100.0,exact
"Redding, CA","Redding, CA","Redding, CA",100.0,exact
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",100.0,exact
"Sacramento-Roseville-Folsom, CA","Sacramento-Roseville-Folsom, CA","Sacramento-Roseville-Folsom, CA",100.0,exact
"Salinas, CA","Salinas, CA","Salinas, CA",100.0,exact
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA",100.0,exact
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",100.0,exact
"San Francisco-San Mateo-Redwood City, CA Metropolitan Division","San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",100.0,exact
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",100.0,exact
"San Luis Obispo-Paso Robles, CA","San Luis Obispo-Paso Robles, CA","San Luis Obispo-Paso Robles, CA",100.0,exact
"San Rafael, CA Metropolitan Division","San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",100.0,exact
"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA",100.0,exact
"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",100.0,exact
"Santa Rosa-Petaluma, CA","Santa Rosa-Petaluma, CA","Santa Rosa-Petaluma, CA",100.0,exact
"Stockton-Lodi, CA","Stockton-Lodi, CA","Stockton-Lodi, CA",100.0,exact
"Vallejo, CA","Vallejo, CA","Vallejo, CA",100.0,exact
"Visalia, CA","Visalia, CA","Visalia, CA",100.0,exact
"Yuba City, CA","Yuba City, CA","Yuba City, CA",100.0,exact
"Boulder, CO","Boulder, CO","Boulder, CO",100.0,exact
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",100.0,exact
"Denver-Aurora-Centennial, CO","Denver-Aurora-Centennial, CO","Denver-Aurora-Centennial, CO",100.0,exact
"Fort Collins-Loveland, CO","Fort Collins-Loveland, CO","Fort Collins-Loveland, CO",100.0,exact
"Grand Junction, CO","Grand Junction, CO","Grand Junction, CO",100.0,exact
"Greeley, CO","Greeley, CO","Greeley, CO",100.0,exact
"Pueblo, CO","Pueblo, CO","Pueblo, CO",100.0,exact
"Bridgeport-Stamford-Danbury, CT","Bridgeport-Stamford-Danbury, CT","Bridgeport-Stamford-Danbury, CT",100.0,exact
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",100.0,exact
"New Haven, CT","New Haven, CT","New Haven, CT",100.0,exact
"Norwich-New London-Willimantic, CT","Norwich-New London-Willimantic, CT","Norwich-New London-Willimantic, CT",100.0,exact
"Waterbury-Shelton, CT","Waterbury-Shelton, CT","Waterbury-Shelton, CT",100.0,exact
"Dover, DE","Dover, DE","Dover, DE",100.0,exact
"Wilmington, DE-MD-NJ Metropolitan Division","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Washington, DC-MD Metropolitan Division","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",100.0,exact
"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",100.0,exact
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",100.0,exact
"Fort Lauderdale-Pompano Beach-Sunrise, FL Metropolitan Division","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
"Gainesville, FL","Gainesville, FL","Gainesville, FL",100.0,exact
"Homosassa Springs, FL","Homosassa Springs, FL","Homosassa Springs, FL",100.0,exact
"Jacksonville, FL","Jacksonville, FL","Jacksonville, FL",100.0,exact
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",100.0,exact
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
