date,gscpi
1998-01-01,-0.93
1998-02-01,-0.43
1998-03-01,-0.08
1998-04-01,-0.13
1998-05-01,-0.51
1998-06-01,-0.78
1998-07-01,-0.93
1998-08-01,-0.94
1998-09-01,-0.92
1998-10-01,-0.73
1998-11-01,-0.83
1998-12-01,-0.62
1999-01-01,-0.29
1999-02-01,-0.03
1999-03-01,-0.29
1999-04-01,-0.32
1999-05-01,-0.33
1999-06-01,-0.38
1999-07-01,-0.61
1999-08-01,-0.46
1999-09-01,-0.3
1999-10-01,-0.1
1999-11-01,-0.05
1999-12-01,-0.02
2000-01-01,-0.48
2000-02-01,-0.28
2000-03-01,-0.26
2000-04-01,0.1
2000-05-01,0.19
2000-06-01,-0.1
2000-07-01,-0.12
2000-08-01,-0.08
2000-09-01,-0.19
2000-10-01,-0.65
2000-11-01,-0.89
2000-12-01,-1.11
2001-01-01,-1.12
2001-02-01,-0.95
2001-03-01,-0.93
2001-04-01,-1.15
2001-05-01,-1.24
2001-06-01,-0.81
2001-07-01,-0.79
2001-08-01,-0.67
2001-09-01,-0.61
2001-10-01,-1.12
2001-11-01,-1.21
2001-12-01,-1.03
2002-01-01,-0.77
2002-02-01,-0.29
2002-03-01,-0.3
2002-04-01,-0.41
2002-05-01,-0.17
2002-06-01,-0.43
2002-07-01,-0.82
2002-08-01,-0.95
2002-09-01,-0.98
2002-10-01,-1.15
2002-11-01,-0.73
2002-12-01,-0.56
2003-01-01,-0.46
2003-02-01,-0.33
2003-03-01,-0.23
2003-04-01,-0.49
2003-05-01,-0.2
2003-06-01,-0.16
2003-07-01,-0.07
2003-08-01,-0.14
2003-09-01,0.01
2003-10-01,-0.22
2003-11-01,-0.3
2003-12-01,-0.22
2004-01-01,-0.38
2004-02-01,-0.24
2004-03-01,0.12
2004-04-01,0.53
2004-05-01,0.47
2004-06-01,0.45
2004-07-01,-0.35
2004-08-01,0.19
2004-09-01,-0.03
2004-10-01,-0.6
2004-11-01,0
2004-12-01,0.15
2005-01-01,-0.15
2005-02-01,-0.21
2005-03-01,-0.28
2005-04-01,-1.34
2005-05-01,-1.08
2005-06-01,-0.96
2005-07-01,-0.99
2005-08-01,-0.65
2005-09-01,0.02
2005-10-01,-0.06
2005-11-01,-0.67
2005-12-01,-0.68
2006-01-01,-0.33
2006-02-01,-0.64
2006-03-01,-0.44
2006-04-01,0.01
2006-05-01,0.08
2006-06-01,0.07
2006-07-01,-0.16
2006-08-01,0.03
2006-09-01,-0.59
2006-10-01,-0.46
2006-11-01,-0.25
2006-12-01,-0.49
2007-01-01,-0.89
2007-02-01,-0.75
2007-03-01,-0.56
2007-04-01,-0.75
2007-05-01,-0.34
2007-06-01,-0.38
2007-07-01,-0.39
2007-08-01,-0.08
2007-09-01,-0.1
2007-10-01,-0.63
2007-11-01,-0.47
2007-12-01,-0.17
2008-01-01,-0.34
2008-02-01,0.4
2008-03-01,0.16
2008-04-01,0.12
2008-05-01,-0.12
2008-06-01,0.22
2008-07-01,0.95
2008-08-01,0.21
2008-09-01,-0.57
2008-10-01,-1.02
2008-11-01,-1.57
2008-12-01,-0.71
2009-01-01,-0.45
2009-02-01,-0.58
2009-03-01,0.05
2009-04-01,0.72
2009-05-01,0.23
2009-06-01,-0.6
2009-07-01,-0.81
2009-08-01,-1.15
2009-09-01,-0.5
2009-10-01,-0.46
2009-11-01,-0.79
2009-12-01,-0.64
2010-01-01,-0.3
2010-02-01,-0.14
2010-03-01,0.39
2010-04-01,0.29
2010-05-01,0.4
2010-06-01,-0.05
2010-07-01,0.03
2010-08-01,0.34
2010-09-01,0.38
2010-10-01,0.68
2010-11-01,0.43
2010-12-01,0.68
2011-01-01,0.82
2011-02-01,0.36
2011-03-01,0.71
2011-04-01,1.55
2011-05-01,0.91
2011-06-01,0.19
2011-07-01,0.28
2011-08-01,-0.09
2011-09-01,-0.56
2011-10-01,-0.37
2011-11-01,0.11
2011-12-01,-0.04
2012-01-01,0.39
2012-02-01,-0.01
2012-03-01,-0.36
2012-04-01,-0.3
2012-05-01,-0.67
2012-06-01,-0.67
2012-07-01,-0.65
2012-08-01,-0.11
2012-09-01,-0.23
2012-10-01,0
2012-11-01,-0.33
2012-12-01,-0.14
2013-01-01,-0.04
2013-02-01,-0.38
2013-03-01,-0.51
2013-04-01,-0.71
2013-05-01,-0.81
2013-06-01,-0.62
2013-07-01,-0.64
2013-08-01,-0.52
2013-09-01,-0.28
2013-10-01,-0.16
2013-11-01,-0.66
2013-12-01,-0.5
2014-01-01,-0.63
2014-02-01,-0.29
2014-03-01,-0.61
2014-04-01,-0.81
2014-05-01,-0.78
2014-06-01,-0.65
2014-07-01,-0.77
2014-08-01,-0.6
2014-09-01,-0.79
2014-10-01,-0.56
2014-11-01,-0.94
2014-12-01,-0.36
2015-01-01,-0.48
2015-02-01,-0.31
2015-03-01,-0.38
2015-04-01,-0.32
2015-05-01,-0.51
2015-06-01,-0.82
2015-07-01,-0.39
2015-08-01,-0.66
2015-09-01,-0.39
2015-10-01,-0.2
2015-11-01,-0.63
2015-12-01,-0.57
2016-01-01,-0.75
2016-02-01,-0.71
2016-03-01,-0.62
2016-04-01,-0.25
2016-05-01,-0.7
2016-06-01,-0.28
2016-07-01,-0.17
2016-08-01,0.08
2016-09-01,-0.29
2016-10-01,-0.04
2016-11-01,-0.32
2016-12-01,-0.23
2017-01-01,0.19
2017-02-01,0.18
2017-03-01,0.09
2017-04-01,0.03
2017-05-01,-0.11
2017-06-01,0.11
2017-07-01,0.12
2017-08-01,0.4
2017-09-01,0.52
2017-10-01,0.78
2017-11-01,0.81
2017-12-01,0.67
2018-01-01,0.59
2018-02-01,0.08
2018-03-01,0.44
2018-04-01,0.53
2018-05-01,0.36
2018-06-01,0.41
2018-07-01,0.43
2018-08-01,0.53
2018-09-01,0.44
2018-10-01,0.51
2018-11-01,0.44
2018-12-01,0.45
2019-01-01,0.53
2019-02-01,0.14
2019-03-01,0.21
2019-04-01,0.03
2019-05-01,-0.63
2019-06-01,-0.46
2019-07-01,-0.44
2019-08-01,-0.29
2019-09-01,0.16
2019-10-01,0.09
2019-11-01,0.15
2019-12-01,0.04
2020-01-01,0.09
2020-02-01,1.19
2020-03-01,2.56
2020-04-01,3.19
2020-05-01,2.55
2020-06-01,2.25
2020-07-01,2.75
2020-08-01,1.36
2020-09-01,0.61
2020-10-01,0.11
2020-11-01,0.73
2020-12-01,1.66
2021-01-01,1.32
2021-02-01,1.9
2021-03-01,2.2
2021-04-01,2.68
2021-05-01,2.98
2021-06-01,2.71
2021-07-01,2.93
2021-08-01,3.25
2021-09-01,3.29
2021-10-01,3.83
2021-11-01,4.24
2021-12-01,4.33
2022-01-01,3.6
2022-02-01,2.75
2022-03-01,2.77
2022-04-01,3.45
2022-05-01,2.66
2022-06-01,2.36
2022-07-01,1.78
2022-08-01,1.47
2022-09-01,0.91
2022-10-01,1.05
2022-11-01,1.21
2022-12-01,1.29
2023-01-01,1.03
2023-02-01,-0.28
2023-03-01,-1.17
2023-04-01,-1.35
2023-05-01,-1.57
2023-06-01,-1.11
2023-07-01,-0.85
2023-08-01,-1.09
2023-09-01,-0.67
2023-10-01,-0.39
2023-11-01,0.11
