year,value,item_text,demographics_text,characteristics_text,total_expend,cpi_index
1984,570,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,10894,104.20833333333333
1985,671,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,11417,108.325
1986,642,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,11477,112.55833333333334
1987,595,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,10355,117.03333333333333
1988,628,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,10893,121.76666666666667
1989,694,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,12119,127.39166666666667
1990,792,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,12909,133.4
1991,617,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,13464,137.90833333333333
1992,612,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,12643,140.69166666666666
1993,657,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,13957,143.225
1994,650,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,14356,145.65
1995,662,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,14607,148.95833333333334
1996,747,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,15896,152.65833333333333
1997,807,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,16008,157.00833333333333
1998,964,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,16630,161.06666666666666
1999,882,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,16750,165.1
2000,848,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,17940,168.98333333333335
2001,1145,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,18883,173.85
2002,1042,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,19061,178.29166666666666
2003,1059,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,18492,182.1
2004,923,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,17837,187.50833333333333
2005,1067,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,19120,193.41666666666666
2006,1055,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,20410,199.38333333333333
2007,1030,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,20471,206.659
2008,1103,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,22304,215.76925
2009,1038,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,21611,223.27191666666667
2010,1039,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,20953,226.1135
2011,1099,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,22001,231.40116666666668
2012,1086,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,22154,237.9865
2013,1142,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,22393,243.0685
2014,1162,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,23713,248.98108333333332
2015,1268,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,24470,256.10066666666665
2016,1360,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,25138,262.69533333333334
2017,1488,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,26019,268.8258333333333
2018,1400,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,26399,275.8930833333333
2019,1610,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,28672,284.4096666666667
2020,1000,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,28732,293.94433333333336
2021,1351,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,30869,307.29608333333334
2022,1466,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,32618,330.822
2023,1571,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,33776,354.2556666666667
2024,1655,Food away from home,Quintiles of income before taxes,Lowest 20 percent income quintile,35046,368.74283333333335
1984,812,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,14337,104.20833333333333
1985,844,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,15092,108.325
1986,842,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,14639,112.55833333333334
1987,942,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,15686,117.03333333333333
1988,984,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,16880,121.76666666666667
1989,1082,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,17616,127.39166666666667
1990,1050,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,17927,133.4
1991,1003,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,18986,137.90833333333333
1992,1030,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,19257,140.69166666666666
1993,953,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,19712,143.225
1994,1036,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,20891,145.65
1995,1099,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,22126,148.95833333333334
1996,1177,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,22799,152.65833333333333
1997,1153,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,23558,157.00833333333333
1998,1254,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,23709,161.06666666666666
1999,1301,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,24840,165.1
2000,1413,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,26550,168.98333333333335
2001,1432,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,26492,173.85
2002,1464,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,27140,178.29166666666666
2003,1389,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,26729,182.1
2004,1480,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,27410,187.50833333333333
2005,1538,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,28921,193.41666666666666
2006,1660,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,30224,199.38333333333333
2007,1519,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,31150,206.659
2008,1631,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,31751,215.76925
2009,1569,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,31382,223.27191666666667
2010,1398,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,30285,226.1135
2011,1608,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,32092,231.40116666666668
2012,1533,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,32632,237.9865
2013,1561,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,32559,243.0685
2014,1616,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,33546,248.98108333333332
2015,1751,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,35063,256.10066666666665
2016,1866,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,36770,262.69533333333334
2017,2049,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,39300,268.8258333333333
2018,2220,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,39968,275.8930833333333
2019,2187,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,40472,284.4096666666667
2020,1580,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,39899,293.94433333333336
2021,1793,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,43918,307.29608333333334
2022,2229,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,47665,330.822
2023,2421,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,48923,354.2556666666667
2024,2448,Food away from home,Quintiles of income before taxes,Second 20 percent income quintile,50054,368.74283333333335
1984,1222,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,19469,104.20833333333333
1985,1205,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,20374,108.325
1986,1295,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,21088,112.55833333333334
1987,1514,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,21708,117.03333333333333
1988,1471,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,23290,121.76666666666667
1989,1538,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,24476,127.39166666666667
1990,1533,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,24687,133.4
1991,1368,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,26144,137.90833333333333
1992,1464,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,26573,140.69166666666666
