center_age,age_min,age_max,edu_group,months,diff_avg
21,19,23,College+,6,0.04572928908036506
22,20,24,College+,6,0.03479739222001498
23,21,25,College+,6,0.03232995673255845
24,22,26,College+,6,0.028689203037261343
25,23,27,College+,6,0.02422245543228993
26,24,28,College+,6,0.018853331852011764
27,25,29,College+,6,0.016610685558861277
28,26,30,College+,6,0.015739768626037695
29,27,31,College+,6,0.015061755956259757
30,28,32,College+,6,0.012110531479362746
31,29,33,College+,6,0.011501659441345116
32,30,34,College+,6,0.010859054766654929
33,31,35,College+,6,0.00815845647804786
34,32,36,College+,6,0.007137411559042601
35,33,37,College+,6,0.009117845969571386
36,34,38,College+,6,0.010213252122559906
37,35,39,College+,6,0.010048229116308071
38,36,40,College+,6,0.009611762264267939
39,37,41,College+,6,0.007418305622305082
40,38,42,College+,6,0.007358192967278784
41,39,43,College+,6,0.004789211140163544
42,40,44,College+,6,0.004007757655782838
43,41,45,College+,6,0.004124485115117315
44,42,46,College+,6,0.006326826645143388
45,43,47,College+,6,0.0038294772860717435
46,44,48,College+,6,0.005075334697749391
47,45,49,College+,6,0.005032191678494954
48,46,50,College+,6,0.004685931700045098
49,47,51,College+,6,0.003291984579186405
50,48,52,College+,6,0.0032942152755801053
51,49,53,College+,6,0.004382172510693345
52,50,54,College+,6,0.0037047162829879163
53,51,55,College+,6,0.0032672230210065004
54,52,56,College+,6,0.002967118558527017
55,53,57,College+,6,0.005137538389004031
56,54,58,College+,6,0.0035942667869226044
57,55,59,College+,6,0.005540175843228624
58,56,60,College+,6,0.009150168007773872
59,57,61,College+,6,0.010103840187810346
60,58,62,College+,6,0.010094861003950477
61,59,63,College+,6,0.01092319899412115
62,60,64,College+,6,0.010227065104807372
63,61,65,College+,6,0.009411416779058454
64,62,66,College+,6,0.012903769166668033
18,16,20,HS+ (no BA),6,0.0306884770382992
19,17,21,HS+ (no BA),6,0.028754615162197027
20,18,22,HS+ (no BA),6,0.02462333885414199
21,19,23,HS+ (no BA),6,0.019877500515063713
22,20,24,HS+ (no BA),6,0.016709374567723447
23,21,25,HS+ (no BA),6,0.013019459306043703
24,22,26,HS+ (no BA),6,0.01029493579024629
25,23,27,HS+ (no BA),6,0.007947201944552843
26,24,28,HS+ (no BA),6,0.0035259552483297776
27,25,29,HS+ (no BA),6,0.0011833928703064225
28,26,30,HS+ (no BA),6,5.392737728385927e-4
29,27,31,HS+ (no BA),6,6.774059787305435e-4
30,28,32,HS+ (no BA),6,0.00204995621678268
31,29,33,HS+ (no BA),6,0.005407484915867289
32,30,34,HS+ (no BA),6,0.004291306944591022
33,31,35,HS+ (no BA),6,0.005836528499710257
34,32,36,HS+ (no BA),6,0.004461916395340611
35,33,37,HS+ (no BA),6,0.0029461576240940013
36,34,38,HS+ (no BA),6,0.0031027040162851837
37,35,39,HS+ (no BA),6,0.005628340353448051
38,36,40,HS+ (no BA),6,0.0058615972430172865
39,37,41,HS+ (no BA),6,0.006837695255651866
40,38,42,HS+ (no BA),6,0.0068472043136348125
41,39,43,HS+ (no BA),6,0.005006983387750332
42,40,44,HS+ (no BA),6,0.003611174281317134
43,41,45,HS+ (no BA),6,0.0031091455297590294
44,42,46,HS+ (no BA),6,0.003974996551281735
45,43,47,HS+ (no BA),6,0.0038331116208378656
46,44,48,HS+ (no BA),6,0.0037031614246796473
47,45,49,HS+ (no BA),6,0.003784717419596528
48,46,50,HS+ (no BA),6,9.281040652580775e-4
49,47,51,HS+ (no BA),6,-0.0013038124342505733
50,48,52,HS+ (no BA),6,-1.9441078277640755e-4
51,49,53,HS+ (no BA),6,0.0021088596519901297
52,50,54,HS+ (no BA),6,0.002297495151933266
53,51,55,HS+ (no BA),6,0.002151722383107153
54,52,56,HS+ (no BA),6,0.0011548371563893886
55,53,57,HS+ (no BA),6,0.0011925704065233553
56,54,58,HS+ (no BA),6,-0.0018406308262845189
57,55,59,HS+ (no BA),6,-0.0011088962272528115
58,56,60,HS+ (no BA),6,6.10523663296576e-4
59,57,61,HS+ (no BA),6,9.424868558729916e-4
60,58,62,HS+ (no BA),6,-2.8858683546971464e-4
61,59,63,HS+ (no BA),6,6.787963170367423e-4
62,60,64,HS+ (no BA),6,8.063070380430237e-5
63,61,65,HS+ (no BA),6,-6.632719213532211e-4
64,62,66,HS+ (no BA),6,-0.001269859845138889
18,16,20,< HS,6,-0.017405450490474487
19,17,21,< HS,6,-0.01597445477550678
20,18,22,< HS,6,-0.031102820457101957
21,19,23,< HS,6,-0.033764164761493715
22,20,24,< HS,6,-0.018601672281970297
23,21,25,< HS,6,-0.011764825943299966
24,22,26,< HS,6,-0.01448657509459976
25,23,27,< HS,6,-0.0014217020688842043
26,24,28,< HS,6,-0.00811448681164087
27,25,29,< HS,6,-0.011772792053896084
28,26,30,< HS,6,-0.014442374852562133
29,27,31,< HS,6,-0.010316552990018062
30,28,32,< HS,6,-0.012706422821144406
31,29,33,< HS,6,-0.003629487007294402
32,30,34,< HS,6,-0.005413348294578099
33,31,35,< HS,6,-0.008700814965706223
34,32,36,< HS,6,-0.005266104978569391
35,33,37,< HS,6,-0.006933113328436645
36,34,38,< HS,6,-0.009880659011279791
37,35,39,< HS,6,-0.005101025108418679
38,36,40,< HS,6,-0.00135531899029296
39,37,41,< HS,6,-0.014356813833350683
40,38,42,< HS,6,-0.012777191315620866
41,39,43,< HS,6,-0.010867008928863412
42,40,44,< HS,6,-0.010999447035161699
43,41,45,< HS,6,-0.008584233660740903
44,42,46,< HS,6,9.536899058419247e-4
45,43,47,< HS,6,-4.661114016797872e-6
46,44,48,< HS,6,0.0028991560248188206
47,45,49,< HS,6,0.0018808882510800416
48,46,50,< HS,6,-0.0034667100405910154
49,47,51,< HS,6,-0.011867347826976857
50,48,52,< HS,6,-0.006963415370313263
51,49,53,< HS,6,-0.0049289430408016015
52,50,54,< HS,6,-0.0048283498843528
53,51,55,< HS,6,-0.0035967014763260046
54,52,56,< HS,6,0.0035609593376386417
55,53,57,< HS,6,-0.0011730082356552116
56,54,58,< HS,6,-0.010010864576169133
57,55,59,< HS,6,-0.012604102464771115
58,56,60,< HS,6,-0.0070311335024827
59,57,61,< HS,6,-0.004009531974513812
60,58,62,< HS,6,0.008810343482249863
61,59,63,< HS,6,0.011673512301332224
62,60,64,< HS,6,0.017960977225972886
63,61,65,< HS,6,0.016704518640679646
64,62,66,< HS,6,0.012533564786434697
