center_age,age_min,age_max,months,diff_avg
19,18,20,3,0.0045239977651528275
20,19,21,3,0.008296851175121528
21,20,22,3,0.008670172397627629
22,21,23,3,0.008893139755440769
23,22,24,3,0.005337896009561004
24,23,25,3,0.003634232597850638
25,24,26,3,0.0033824559616372645
26,25,27,3,0.0036682919757013085
27,26,28,3,0.0033513684411409597
28,27,29,3,0.0022716596306007406
29,28,30,3,0.002361551374260619
30,29,31,3,0.002532774003180855
31,30,32,3,0.0012986241964697738
32,31,33,3,1.1196093266712989e-4
33,32,34,3,-0.0017404852507263032
34,33,35,3,3.7470479094915454e-4
35,34,36,3,0.0014953335967654465
36,35,37,3,0.004066436040256356
37,36,38,3,0.003932040160944711
38,37,39,3,0.003104695045142443
39,38,40,3,0.001285923536882681
40,39,41,3,-6.870600596905902e-4
41,40,42,3,-2.05544271255897e-4
42,41,43,3,1.2565335301948619e-4
43,42,44,3,0.002754395589862154
44,43,45,3,0.0036286029735509337
45,44,46,3,0.004892253828293666
46,45,47,3,0.0018498979064983563
47,46,48,3,0.0013676745455306904
48,47,49,3,8.954059023253679e-4
49,48,50,3,0.0015955786274060232
50,49,51,3,7.973675895472388e-4
51,50,52,3,6.251471516490713e-4
52,51,53,3,0.003897540354687585
53,52,54,3,0.0029524686576029315
54,53,55,3,0.001356021270843017
55,54,56,3,-0.0013482304599601949
56,55,57,3,7.945800064213122e-4
57,56,58,3,0.0012870941344719545
58,57,59,3,0.0023771759262404732
59,58,60,3,0.002594472692446255
60,59,61,3,0.004115317182747835
61,60,62,3,0.002992409941940053
62,61,63,3,5.936521678307783e-4
63,62,64,3,0.0018195796065536968
64,63,65,3,0.001470110725587167
