ind_lbl,y2019,y2024,change,pct_change,type
Postsecondary Teachers,168151,49676,-118475,-70.5,Occupation
Elementary and secondary schools,695503,614760,-80743,-11.6,Industry
Elementary and Middle School Teachers,393520,341392,-52128,-13.2,Occupation
Advertising,110903,76563,-34341,-31,Industry
Physicians and Surgeons,47052,19583,-27469,-58.4,Occupation
Insurance,161232,134907,-26325,-16.3,Industry
Drug stores,68972,43151,-25821,-37.4,Industry
Preschool and Kindergarten Teachers,56466,32146,-24320,-43.1,Occupation
Cashiers,79687,55732,-23955,-30.1,Occupation
"Medical Scientists, and Life Scientists, All Other",31634,9135,-22499,-71.1,Occupation
Credit Counselors and Loan Officers,32515,12073,-20442,-62.9,Occupation
Meeting and Convention Planners,45907,27590,-18317,-39.9,Occupation
"Editors, News Analysts, Reporters, and Correspondents",34965,16889,-18076,-51.7,Occupation
Radio and television broadcasting and cable,71981,55100,-16881,-23.5,Industry
Services incidental to transportation,46006,29345,-16661,-36.2,Industry
Customer Service Representatives,138959,123173,-15786,-11.4,Occupation
Eating and drinking places,320251,304961,-15290,-4.8,Industry
Counselors,105863,90579,-15284,-14.4,Occupation
"Office Clerks, General",73409,58134,-15275,-20.8,Occupation
Designers,106617,91424,-15193,-14.3,Occupation
First-Line Supervisors of Food Preparation and Serving Workers,23741,9358,-14384,-60.6,Occupation
Hotels and motels,47474,34131,-13342,-28.1,Industry
"Wholesale and Retail Buyers, Except Farm Products",20894,7584,-13311,-63.7,Occupation
Religious organizations,56023,42938,-13085,-23.4,Industry
Secretaries and Administrative Assistants,107086,94259,-12828,-12,Occupation
"Real estate, including real estate-insurance offices",102785,89973,-12812,-12.5,Industry
"Apparel and accessory stores, except shoe",58490,45719,-12771,-21.8,Industry
"Managers in Marketing, Advertising, and Public Relations",111613,98887,-12726,-11.4,Occupation
"Lawyers, and judges, magistrates, and other judicial workers",42220,30261,-11959,-28.3,Occupation
"Savings institutions, including credit unions",19573,7742,-11832,-60.4,Industry
Theaters and motion pictures,52582,41165,-11417,-21.7,Industry
Personnel supply services,65744,54343,-11402,-17.3,Industry
First-Line Supervisors of Office and Administrative Support Workers,42884,31652,-11232,-26.2,Occupation
Oil and gas extraction,23281,12053,-11228,-48.2,Industry
"Engineering Technicians, Except Drafters",30881,19686,-11195,-36.3,Occupation
Secondary School Teachers,104256,93175,-11080,-10.6,Occupation
Personal Financial Advisors,53164,42397,-10767,-20.3,Occupation
Food Preparation Workers,27649,16911,-10738,-38.8,Occupation
Private households,38520,28086,-10434,-27.1,Industry
