state_name,industry_name,latest_date,latest_value,jan_2025,change,pct_change
Alabama,Construction,2025-11-01,112,108.3,3.700000000000003,0.034164358264081283
Alabama,Manufacturing,2025-11-01,288.8,286,2.8000000000000114,0.00979020979020983
Alaska,Construction,2025-11-01,19.3,18.6,0.6999999999999993,0.0376344086021505
Alaska,Manufacturing,2025-11-01,12.1,13.2,-1.0999999999999996,-0.08333333333333331
Arizona,Construction,2025-11-01,223.5,220.9,2.5999999999999943,0.011770031688546827
Arizona,Manufacturing,2025-11-01,192.5,193.1,-0.5999999999999943,-0.003107198342827521
Arkansas,Construction,2025-11-01,65.3,66.1,-0.7999999999999972,-0.01210287443267772
Arkansas,Manufacturing,2025-11-01,165.3,162.8,2.5,0.015356265356265355
California,Construction,2025-11-01,888.2,898.5,-10.299999999999955,-0.011463550361713917
California,Manufacturing,2025-11-01,1203.2,1231.4,-28.200000000000045,-0.02290076335877866
Colorado,Construction,2025-11-01,185,184.3,0.6999999999999886,0.0037981551817687933
Colorado,Manufacturing,2025-11-01,148.1,150.4,-2.3000000000000114,-0.015292553191489438
Connecticut,Construction,2025-11-01,64,62.3,1.7000000000000028,0.02728731942215093
Connecticut,Manufacturing,2025-11-01,153.5,155.2,-1.6999999999999886,-0.010953608247422609
Delaware,Manufacturing,2025-11-01,26,26.7,-0.6999999999999993,-0.02621722846441945
District of Columbia,Manufacturing,2025-11-01,1.2,1.2,0,0
Florida,Construction,2025-11-01,649.6,655.1,-5.5,-0.008395664784002442
Florida,Manufacturing,2025-11-01,427.5,430.6,-3.1000000000000227,-0.007199256850905765
Georgia,Construction,2025-11-01,228.2,226.4,1.799999999999983,0.007950530035335614
Georgia,Manufacturing,2025-11-01,428.9,424.9,4,0.009413979759943517
Hawaii,Manufacturing,2025-11-01,13.1,13,0.09999999999999964,0.007692307692307665
Idaho,Construction,2025-11-01,79.3,77.7,1.5999999999999943,0.02059202059202052
Idaho,Manufacturing,2025-11-01,76.8,76.8,0,0
Illinois,Construction,2025-11-01,241,233.4,7.599999999999994,0.032562125107112226
Illinois,Manufacturing,2025-11-01,569,573.3,-4.2999999999999545,-0.007500436071864565
Indiana,Construction,2025-11-01,171.1,167.7,3.4000000000000057,0.020274299344066823
Indiana,Manufacturing,2025-11-01,520.3,519.8,0.5,9.619084263178146e-4
Iowa,Construction,2025-11-01,90.2,82.6,7.6000000000000085,0.09200968523002433
Iowa,Manufacturing,2025-11-01,217.6,217.1,0.5,0.002303086135421465
Kansas,Construction,2025-11-01,74.4,73.1,1.3000000000000114,0.017783857729138323
Kansas,Manufacturing,2025-11-01,175.8,173.8,2,0.01150747986191024
Kentucky,Construction,2025-11-01,101.1,93.1,8,0.08592910848549946
Kentucky,Manufacturing,2025-11-01,256,257,-1,-0.0038910505836575876
Louisiana,Construction,2025-11-01,138.5,138,0.5,0.0036231884057971015
Louisiana,Manufacturing,2025-11-01,143.5,143.3,0.19999999999998863,0.001395673412421414
Maine,Construction,2025-11-01,34.7,35.2,-0.5,-0.014204545454545454
Maine,Manufacturing,2025-11-01,51.4,51.8,-0.3999999999999986,-0.007722007722007695
Maryland,Construction,2025-11-01,161.6,157.5,4.099999999999994,0.026031746031745996
Maryland,Manufacturing,2025-11-01,108,110,-2,-0.01818181818181818
Massachusetts,Construction,2025-11-01,166.9,165.8,1.0999999999999943,0.006634499396863657
Massachusetts,Manufacturing,2025-11-01,228.8,229.9,-1.0999999999999943,-0.0047846889952152865
Michigan,Construction,2025-11-01,208.1,199.6,8.5,0.042585170340681364
Michigan,Manufacturing,2025-11-01,596.8,594.5,2.2999999999999545,0.0038687973086626655
Minnesota,Construction,2025-11-01,150,139.1,10.900000000000006,0.07836089144500363
Minnesota,Manufacturing,2025-11-01,323.5,321.6,1.8999999999999773,0.005907960199004904
Mississippi,Construction,2025-11-01,51.4,52.5,-1.1000000000000014,-0.02095238095238098
Mississippi,Manufacturing,2025-11-01,141.3,141.7,-0.39999999999997726,-0.002822865208186149
Missouri,Construction,2025-11-01,152.7,144.8,7.899999999999977,0.0545580110497236
Missouri,Manufacturing,2025-11-01,279.8,276.1,3.6999999999999886,0.013400941687794234
Montana,Construction,2025-11-01,36.9,36.4,0.5,0.013736263736263736
Montana,Manufacturing,2025-11-01,20.2,20.8,-0.6000000000000014,-0.028846153846153914
Nebraska,Construction,2025-11-01,64.7,61.9,2.8000000000000043,0.0452342487883684
Nebraska,Manufacturing,2025-11-01,102,102.8,-0.7999999999999972,-0.0077821011673151474
Nevada,Construction,2025-11-01,103.6,110.8,-7.200000000000003,-0.06498194945848378
Nevada,Manufacturing,2025-11-01,67.7,67.5,0.20000000000000284,0.002962962962963005
New Hampshire,Construction,2025-11-01,32.2,32.5,-0.29999999999999716,-0.009230769230769143
New Hampshire,Manufacturing,2025-11-01,67.9,67.8,0.10000000000000853,0.0014749262536874414
New Jersey,Construction,2025-11-01,153.7,164.4,-10.700000000000017,-0.06508515815085168
New Jersey,Manufacturing,2025-11-01,256.7,256.2,0.5,0.00195160031225605
New Mexico,Construction,2025-11-01,59.6,58.8,0.8000000000000043,0.01360544217687082
New Mexico,Manufacturing,2025-11-01,29.3,29.3,0,0
New York,Construction,2025-11-01,371.2,383.3,-12.100000000000023,-0.03156796243151584
New York,Manufacturing,2025-11-01,408.2,415,-6.800000000000011,-0.016385542168674726
North Carolina,Construction,2025-11-01,287.5,275.2,12.300000000000011,0.04469476744186051
North Carolina,Manufacturing,2025-11-01,454.7,459.2,-4.5,-0.009799651567944252
North Dakota,Construction,2025-11-01,30.3,29.7,0.6000000000000014,0.02020202020202025
North Dakota,Manufacturing,2025-11-01,28.4,28,0.3999999999999986,0.014285714285714235
Ohio,Construction,2025-11-01,265.3,251.2,14.100000000000023,0.056130573248407735
Ohio,Manufacturing,2025-11-01,693.7,685.6,8.100000000000023,0.01181446907817973
Oklahoma,Construction,2025-11-01,90.2,90.5,-0.29999999999999716,-0.003314917127071792
Oklahoma,Manufacturing,2025-11-01,141.5,139.4,2.0999999999999943,0.015064562410329944
Oregon,Construction,2025-11-01,117.4,117.7,-0.29999999999999716,-0.0025488530161427115
Oregon,Manufacturing,2025-11-01,177.1,181.1,-4,-0.022087244616234125
Pennsylvania,Construction,2025-11-01,262.7,261.4,1.3000000000000114,0.004973221117062018
Pennsylvania,Manufacturing,2025-11-01,562.9,560,2.8999999999999773,0.005178571428571388
Puerto Rico,Construction,2025-11-01,39.6,39.3,0.30000000000000426,0.007633587786259651
Puerto Rico,Manufacturing,2025-11-01,82.9,83.3,-0.3999999999999915,-0.004801920768307221
Rhode Island,Construction,2025-11-01,22.8,22.3,0.5,0.02242152466367713
Rhode Island,Manufacturing,2025-11-01,40.3,40.1,0.19999999999999574,0.004987531172069719
South Carolina,Construction,2025-11-01,121.5,123.1,-1.5999999999999943,-0.012997562956945527
