item_name,item_display_level,val_2019,val_2025,pct_change,beats_all_items,category
Energy,1,221.18,285.016,28.861560719775746,TRUE,Discretionary
All items less food,1,258.322,323.14,25.09193951734656,FALSE,Discretionary
All items less food and shelter,1,230.514,279.752,21.36009092723219,FALSE,Essential
"All items less food, shelter, and energy",1,234.827,282.484,20.29451468527894,FALSE,Essential
"All items less food, shelter, energy, and used cars and trucks",1,240.691,288.063,19.681666535101016,FALSE,Essential
All items less food and energy,1,266.02,331.86,24.750018795579297,FALSE,Discretionary
All items less shelter,1,236.755,292.462,23.529386918966864,FALSE,Essential
All items less medical care,1,246.537,313.383,27.113982891006216,TRUE,Discretionary
All items less energy,1,264.47,332.836,25.850190947933594,FALSE,Discretionary
Apparel less footwear,1,115.021,124.337,8.099390546074204,FALSE,Discretionary
Men's and boys' apparel,1,116.38,129.337,11.133356246777781,FALSE,Discretionary
Women's and girls' apparel,1,105.324,109.32,3.7940070639170598,FALSE,Discretionary
Commodities,1,186.909,227.201,21.557014375979765,FALSE,Discretionary
Energy commodities,1,249.366,290.055,16.316979860927304,FALSE,Discretionary
Commodities less food,1,154.296,178.812,15.888940737284196,FALSE,Discretionary
Commodities less food and beverages,1,150.907,174.847,15.864075225138663,FALSE,Discretionary
Commodities less food and energy commodities,1,144.38,167.34,15.90247956780717,FALSE,Discretionary
"Commodities less food, energy, and used cars and trucks",1,145.477,165.503,13.765749912357261,FALSE,Discretionary
Durables,1,104.362,123.871,18.693585787930477,FALSE,Discretionary
Education,1,268.092,313.991,17.120615311161846,FALSE,Essential
Communication,1,73.566,71.806,-2.392409537014384,FALSE,Discretionary
Information and information processing,2,69.532,67.378,-3.0978542253926156,FALSE,Discretionary
Education and communication commodities,1,69.39,51.128,-26.31791324398328,FALSE,Essential
Education and communication services,1,112.069,124.567,11.152058107059037,FALSE,Essential
Food,1,260.483,344.693,32.3284053085998,TRUE,Discretionary
Food at home,2,242.887,317.077,30.545068282781696,TRUE,Essential
Cereals and bakery products,3,276.485,363.924,31.625223791525748,TRUE,Discretionary
"Meats, poultry, fish, and eggs",3,254.035,347.21,36.67801680870746,TRUE,Discretionary
Fruits and vegetables,3,298.408,356.586,19.49612610921958,FALSE,Discretionary
Nonalcoholic beverages and beverage materials,3,171.272,234.281,36.78885048344156,TRUE,Essential
Other food at home,3,211.524,281.522,33.09222594126435,TRUE,Essential
Alcoholic beverages,2,252.854,298.085,17.888188440760256,FALSE,Discretionary
Personal care,1,236.248,296.044,25.31069046087162,FALSE,Discretionary
Other goods,1,115.404,146.317,26.786766489896372,TRUE,Discretionary
Shelter,1,322.247,420.983,30.639850797680033,TRUE,Essential
Fuels and utilities,1,243.23,339.946,39.76318710685361,TRUE,Essential
Household energy,2,199.869,285.674,42.93061955580904,TRUE,Essential
Household furnishings and operations,1,124.082,154.473,24.49267419931982,FALSE,Discretionary
Household furnishings and supplies,1,90.64,109.282,20.56707855251545,FALSE,Discretionary
Medical care commodities,1,387.533,418.532,7.99906072515113,FALSE,Essential
Medical care services,1,550.659,642.549,16.687278333778256,FALSE,Essential
Nondurables,1,229.191,284.642,24.194231012561573,FALSE,Discretionary
Domestically produced farm food,1,249.635,325.422,30.359124321509423,TRUE,Discretionary
Nondurables less food,1,202.561,234.379,15.707860841919219,FALSE,Discretionary
Nondurables less food and beverages,1,199.418,230.393,15.532700157458201,FALSE,Discretionary
"Nondurables less food, beverages, and apparel",1,251.298,296.103,17.829429601508973,FALSE,Discretionary
Nondurables less food and apparel,1,250.342,294.875,17.78886483290858,FALSE,Discretionary
Recreation commodities,1,79.616,84.148,5.6923231511254,FALSE,Discretionary
Recreation services,1,126.441,158.182,25.10340791357233,FALSE,Discretionary
Services,1,329.354,423.55,28.600229540251544,TRUE,Discretionary
Utilities and public transportation,1,219.636,271.119,23.440146424083498,FALSE,Discretionary
Rent of shelter,1,335.994,439.604,30.83686018202705,TRUE,Essential
Other services,1,363.327,430.513,18.491881968584778,FALSE,Discretionary
Transportation services,1,326.555,450.871,38.06893172666166,TRUE,Essential
Services less rent of shelter,1,347.103,437.319,25.991132315191745,FALSE,Essential
