date,index_type,index_norm
2010-01-01,Core Essentials,86.97851319461158
2010-02-01,Core Essentials,86.98941991450944
2010-03-01,Core Essentials,87.1194995363932
2010-04-01,Core Essentials,87.16009526576889
2010-05-01,Core Essentials,87.18709391736532
2010-06-01,Core Essentials,87.1761257355632
2010-07-01,Core Essentials,87.2560117598193
2010-08-01,Core Essentials,87.28884747625678
2010-09-01,Core Essentials,87.36616454789596
2010-10-01,Core Essentials,87.40624348650283
2010-11-01,Core Essentials,87.48467378096181
2010-12-01,Core Essentials,87.62037304290313
2011-01-01,Core Essentials,87.84632868079781
2011-02-01,Core Essentials,88.14290321320128
2011-03-01,Core Essentials,88.46556210788548
2011-04-01,Core Essentials,88.65812677337408
2011-05-01,Core Essentials,88.88775441904666
2011-06-01,Core Essentials,89.00990574333628
2011-07-01,Core Essentials,89.2641529459246
2011-08-01,Core Essentials,89.54943258874619
2011-09-01,Core Essentials,89.81799340932193
2011-10-01,Core Essentials,89.93542650026359
2011-11-01,Core Essentials,89.97253370246263
2011-12-01,Core Essentials,90.10560566682237
2012-01-01,Core Essentials,90.28485175778489
2012-02-01,Core Essentials,90.3086890264592
2012-03-01,Core Essentials,90.46322763090284
2012-04-01,Core Essentials,90.60725588417849
2012-05-01,Core Essentials,90.6268544634338
2012-06-01,Core Essentials,90.76329393411994
2012-07-01,Core Essentials,90.83668936161578
2012-08-01,Core Essentials,91.02536263224086
2012-09-01,Core Essentials,91.14999162037863
2012-10-01,Core Essentials,91.37414305329489
2012-11-01,Core Essentials,91.57557621983482
2012-12-01,Core Essentials,91.7383944386686
2013-01-01,Core Essentials,91.89837900727115
2013-02-01,Core Essentials,92.06214310468346
2013-03-01,Core Essentials,92.17501228427167
2013-04-01,Core Essentials,92.39899127425201
2013-05-01,Core Essentials,92.53213071986484
2013-06-01,Core Essentials,92.70410925110957
2013-07-01,Core Essentials,92.80886920954116
2013-08-01,Core Essentials,92.94205892960919
2013-09-01,Core Essentials,93.07555349678725
2013-10-01,Core Essentials,93.22821454027138
2013-11-01,Core Essentials,93.32563464521463
2013-12-01,Core Essentials,93.53292467090463
2014-01-01,Core Essentials,93.83190752777607
2014-02-01,Core Essentials,94.08843958414484
2014-03-01,Core Essentials,94.58805482395695
2014-04-01,Core Essentials,94.65615001086152
2014-05-01,Core Essentials,95.0279581532978
2014-06-01,Core Essentials,95.1597624721753
2014-07-01,Core Essentials,95.39755273755033
2014-08-01,Core Essentials,95.55068027876499
2014-09-01,Core Essentials,95.72256632967465
2014-10-01,Core Essentials,95.8542215650948
2014-11-01,Core Essentials,96.05060213940003
2014-12-01,Core Essentials,96.31296696122334
2015-01-01,Core Essentials,96.45531246507792
2015-02-01,Core Essentials,96.64075432154995
2015-03-01,Core Essentials,96.6492461044021
2015-04-01,Core Essentials,96.71413241398272
2015-05-01,Core Essentials,96.80131489582483
2015-06-01,Core Essentials,97.10966852166226
2015-07-01,Core Essentials,97.29476383154544
2015-08-01,Core Essentials,97.49865919439273
2015-09-01,Core Essentials,97.68101598424853
2015-10-01,Core Essentials,97.84269349105412
2015-11-01,Core Essentials,97.86500875148396
2015-12-01,Core Essentials,97.86235614991368
2016-01-01,Core Essentials,98.02500738094845
2016-02-01,Core Essentials,98.2020654384537
2016-03-01,Core Essentials,98.23170498510942
2016-04-01,Core Essentials,98.42962041013428
2016-05-01,Core Essentials,98.53775061726614
2016-06-01,Core Essentials,98.65803893072186
2016-07-01,Core Essentials,98.85808549514226
2016-08-01,Core Essentials,99.0462303303095
2016-09-01,Core Essentials,99.28661422154052
2016-10-01,Core Essentials,99.4812563682154
2016-11-01,Core Essentials,99.61655616196376
2016-12-01,Core Essentials,99.74421634387932
2017-01-01,Core Essentials,100
2017-02-01,Core Essentials,100.26542441995785
2017-03-01,Core Essentials,100.47824129723794
2017-04-01,Core Essentials,100.70801628436017
2017-05-01,Core Essentials,100.89823459959474
2017-06-01,Core Essentials,101.0459817166755
2017-07-01,Core Essentials,101.26895627083347
2017-08-01,Core Essentials,101.4942762151509
2017-09-01,Core Essentials,101.674396035351
2017-10-01,Core Essentials,101.88907585316245
2017-11-01,Core Essentials,102.04134622415137
2017-12-01,Core Essentials,102.29990247549242
2018-01-01,Core Essentials,102.52833402450916
2018-02-01,Core Essentials,102.69268995723988
2018-03-01,Core Essentials,102.88038468375478
2018-04-01,Core Essentials,103.09166066459876
2018-05-01,Core Essentials,103.18809223740347
2018-06-01,Core Essentials,103.32853488220239
2018-07-01,Core Essentials,103.540781163343
2018-08-01,Core Essentials,103.79228930341198
2018-09-01,Core Essentials,103.9271586799568
2018-10-01,Core Essentials,104.12015172450752
2018-11-01,Core Essentials,104.42643590655027
2018-12-01,Core Essentials,104.8139882254792
2019-01-01,Core Essentials,104.95621071431225
2019-02-01,Core Essentials,105.22760020301578
2019-03-01,Core Essentials,105.50555082182187
2019-04-01,Core Essentials,105.55737622413301
2019-05-01,Core Essentials,105.76337505517157
2019-06-01,Core Essentials,105.94662825004117
2019-07-01,Core Essentials,106.11027556648895
2019-08-01,Core Essentials,106.2670473829771
2019-09-01,Core Essentials,106.5161600854307
2019-10-01,Core Essentials,106.72008019803545
2019-11-01,Core Essentials,106.92261033974097
2019-12-01,Core Essentials,107.09331680761008
2020-01-01,Core Essentials,107.4750386027382
2020-02-01,Core Essentials,107.74501822793914
2020-03-01,Core Essentials,108.04886655600563
2020-04-01,Core Essentials,108.93725845650421
2020-05-01,Core Essentials,109.32549652587029
2020-06-01,Core Essentials,109.54429456895225
2020-07-01,Core Essentials,109.39651469558709
2020-08-01,Core Essentials,109.4947144101899
2020-09-01,Core Essentials,109.56013925051514
2020-10-01,Core Essentials,109.80634171086612
2020-11-01,Core Essentials,109.89796473594036
2020-12-01,Core Essentials,110.10474253564324
2021-01-01,Core Essentials,110.18275286951031
2021-02-01,Core Essentials,110.47699232608666
2021-03-01,Core Essentials,110.72292703077187
2021-04-01,Core Essentials,111.08984079882593
2021-05-01,Core Essentials,111.43063473345136
2021-06-01,Core Essentials,111.89493750005981
2021-07-01,Core Essentials,112.33687637796316
2021-08-01,Core Essentials,112.76616278037241
2021-09-01,Core Essentials,113.44842267034623
2021-10-01,Core Essentials,114.24250422046171
2021-11-01,Core Essentials,114.82698597628472
2021-12-01,Core Essentials,115.26552264581382
2022-01-01,Core Essentials,116.07157052875232
2022-02-01,Core Essentials,116.89207164961996
2022-03-01,Core Essentials,117.81955085518693
2022-04-01,Core Essentials,118.70355670532714
2022-05-01,Core Essentials,119.80747646022904
2022-06-01,Core Essentials,120.98017197394246
2022-07-01,Core Essentials,121.95844492819654
2022-08-01,Core Essentials,122.96128764610734
2022-09-01,Core Essentials,123.81359476967945
2022-10-01,Core Essentials,124.45228217297904
2022-11-01,Core Essentials,125.06029778980326
2022-12-01,Core Essentials,125.88274418021679
2023-01-01,Core Essentials,126.70662692074686
2023-02-01,Core Essentials,127.23821254643329
2023-03-01,Core Essentials,127.41169970898059
2023-04-01,Core Essentials,127.8274338753012
2023-05-01,Core Essentials,128.2203622936309
2023-06-01,Core Essentials,128.65247003276542
2023-07-01,Core Essentials,129.12325677974604
2023-08-01,Core Essentials,129.5887101583396
2023-09-01,Core Essentials,130.0516990897208
2023-10-01,Core Essentials,130.54316419778
2023-11-01,Core Essentials,131.0052338105474
2023-12-01,Core Essentials,131.39438600282472
2024-01-01,Core Essentials,132.05589316672464
2024-02-01,Core Essentials,132.5641119142984
2024-03-01,Core Essentials,132.95178629761756
2024-04-01,Core Essentials,133.23454863118008
2024-05-01,Core Essentials,133.58542799103918
2024-06-01,Core Essentials,133.8794140521603
2024-07-01,Core Essentials,134.25968485561995
2024-08-01,Core Essentials,134.60913388955427
2024-09-01,Core Essentials,135.0505072463281
2024-10-01,Core Essentials,135.51537585211034
2024-11-01,Core Essentials,135.84091452212863
2024-12-01,Core Essentials,136.25883332956332
2025-01-01,Core Essentials,136.7044405175028
2025-02-01,Core Essentials,137.0912114253986
2025-03-01,Core Essentials,137.7356512133433
2025-04-01,Core Essentials,138.07261475700395
2025-05-01,Core Essentials,138.4196648503549
2025-06-01,Core Essentials,138.86446779452004
2025-07-01,Core Essentials,139.04539689122691
2025-08-01,Core Essentials,139.53773709944863
2025-09-01,Core Essentials,139.79562498113637
2025-10-01,Core Essentials,139.9627042434255
2025-11-01,Core Essentials,140.13046741685667
