date,index_type,index_norm
2010-01-01,Core Essentials,86.93124353964023
2010-02-01,Core Essentials,86.9659747861503
2010-03-01,Core Essentials,87.09230780237756
2010-04-01,Core Essentials,87.13760241936716
2010-05-01,Core Essentials,87.14323234681464
2010-06-01,Core Essentials,87.11953065451173
2010-07-01,Core Essentials,87.19496361774883
2010-08-01,Core Essentials,87.23529597607369
2010-09-01,Core Essentials,87.3288206134906
2010-10-01,Core Essentials,87.36672304294767
2010-11-01,Core Essentials,87.45494836072189
2010-12-01,Core Essentials,87.57319910261035
2011-01-01,Core Essentials,87.83231569609107
2011-02-01,Core Essentials,88.15635961832956
2011-03-01,Core Essentials,88.48353514156338
2011-04-01,Core Essentials,88.70448029225903
2011-05-01,Core Essentials,88.91717631511982
2011-06-01,Core Essentials,89.05679393761643
2011-07-01,Core Essentials,89.2992696386681
2011-08-01,Core Essentials,89.60631675276089
2011-09-01,Core Essentials,89.88483903285913
2011-10-01,Core Essentials,90.00185951934905
2011-11-01,Core Essentials,90.04808422245307
2011-12-01,Core Essentials,90.17265339166282
2012-01-01,Core Essentials,90.3983154357364
2012-02-01,Core Essentials,90.41087496554454
2012-03-01,Core Essentials,90.59016753064014
2012-04-01,Core Essentials,90.70832613656778
2012-05-01,Core Essentials,90.7206716206842
2012-06-01,Core Essentials,90.85684366405137
2012-07-01,Core Essentials,90.91185855822602
2012-08-01,Core Essentials,91.10189581927011
2012-09-01,Core Essentials,91.22300846962723
2012-10-01,Core Essentials,91.45182060219109
2012-11-01,Core Essentials,91.64507568626851
2012-12-01,Core Essentials,91.816118207559
2013-01-01,Core Essentials,91.97026457331536
2013-02-01,Core Essentials,92.13423769425142
2013-03-01,Core Essentials,92.21366053125031
2013-04-01,Core Essentials,92.43561280398882
2013-05-01,Core Essentials,92.57339133050245
2013-06-01,Core Essentials,92.74702038362676
2013-07-01,Core Essentials,92.87032264843306
2013-08-01,Core Essentials,92.99723810256727
2013-09-01,Core Essentials,93.12377951363256
2013-10-01,Core Essentials,93.26872210502651
2013-11-01,Core Essentials,93.35685479355094
2013-12-01,Core Essentials,93.56856880415258
2014-01-01,Core Essentials,93.84976517763202
2014-02-01,Core Essentials,94.12053027036097
2014-03-01,Core Essentials,94.6101747299685
2014-04-01,Core Essentials,94.69878964154152
2014-05-01,Core Essentials,95.08255961252263
2014-06-01,Core Essentials,95.23032837267846
2014-07-01,Core Essentials,95.47712438982973
2014-08-01,Core Essentials,95.63158509819714
2014-09-01,Core Essentials,95.79857953805269
2014-10-01,Core Essentials,95.93262306306163
2014-11-01,Core Essentials,96.11984635051417
2014-12-01,Core Essentials,96.39499337641689
2015-01-01,Core Essentials,96.52981542224155
2015-02-01,Core Essentials,96.6960344462167
2015-03-01,Core Essentials,96.71239253075231
2015-04-01,Core Essentials,96.77230755591125
2015-05-01,Core Essentials,96.85833697098548
2015-06-01,Core Essentials,97.16413322944967
2015-07-01,Core Essentials,97.35673634346269
2015-08-01,Core Essentials,97.55203623847824
2015-09-01,Core Essentials,97.73631935455359
2015-10-01,Core Essentials,97.88538134365065
2015-11-01,Core Essentials,97.91537339013531
2015-12-01,Core Essentials,97.91170474889762
2016-01-01,Core Essentials,98.06100441656491
2016-02-01,Core Essentials,98.24396112696635
2016-03-01,Core Essentials,98.2606116250639
2016-04-01,Core Essentials,98.45762838165099
2016-05-01,Core Essentials,98.5565468947525
2016-06-01,Core Essentials,98.67239770507513
2016-07-01,Core Essentials,98.86334662971247
2016-08-01,Core Essentials,99.04777035030754
2016-09-01,Core Essentials,99.28652027812663
2016-10-01,Core Essentials,99.48325002068452
2016-11-01,Core Essentials,99.61643386892803
2016-12-01,Core Essentials,99.74063951415017
2017-01-01,Core Essentials,100
2017-02-01,Core Essentials,100.26581920340374
2017-03-01,Core Essentials,100.47782640467003
2017-04-01,Core Essentials,100.70709743270292
2017-05-01,Core Essentials,100.8960027907079
2017-06-01,Core Essentials,101.04372526497372
2017-07-01,Core Essentials,101.26674056897997
2017-08-01,Core Essentials,101.49189193400599
2017-09-01,Core Essentials,101.67190546522731
2017-10-01,Core Essentials,101.88729931649692
2017-11-01,Core Essentials,102.04029342485099
2017-12-01,Core Essentials,102.29958370020806
2018-01-01,Core Essentials,102.52749178685454
2018-02-01,Core Essentials,102.6909055727807
2018-03-01,Core Essentials,102.8840621345145
2018-04-01,Core Essentials,103.10124965379583
2018-05-01,Core Essentials,103.19318809336531
2018-06-01,Core Essentials,103.34214407245597
2018-07-01,Core Essentials,103.55321845888943
2018-08-01,Core Essentials,103.80966128852253
2018-09-01,Core Essentials,103.94267518028516
2018-10-01,Core Essentials,104.13988464991846
2018-11-01,Core Essentials,104.44408767952054
2018-12-01,Core Essentials,104.84095390682715
