item_name,pre_growth,post_growth,reversal,pre_growing,post_slowing,PCEweight
Net transactions in used trucks,0.11600538442121144,-0.019315470514383093,0.13532085493559454,TRUE,TRUE,0.00554074946920184
Used light trucks,0.08318691664917521,-0.017268062749212443,0.10045497939838766,TRUE,TRUE,0.00814503156717604
New foreign light trucks,0.08240654046406815,9.608290605012115e-5,0.08231045755801802,TRUE,TRUE,0.0031662226241992
Computer software and accessories,0.2015632765585773,0.11956685434794401,0.0819964222106333,TRUE,TRUE,0.01077009859858637
Natural gas (28),0.05464393609968554,-0.015495062599393483,0.07013899869907902,TRUE,TRUE,0.0033012079222451
Video and audio streaming and rental,0.14613377902660063,0.07822177212753556,0.06791200689906507,TRUE,TRUE,0.00334175021937446
Information processing equipment,0.17932973007528763,0.11699283805798366,0.06233689201730397,TRUE,TRUE,0.01574180796879401
"Clocks, lamps, lighting fixtures, and other household decorative items",0.1187079690851911,0.0566102238258015,0.0620977452593896,TRUE,TRUE,0.00305225579816736
"Tools, hardware, and supplies",0.0446089708324684,-0.012893099447535805,0.0575020702800042,TRUE,TRUE,0.00243365881293555
Tools and equipment for house and garden (35),0.045937188571082865,-0.010091981931201088,0.056029170502283954,TRUE,TRUE,0.0029149818220577
"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",0.1626548967153436,0.1094843285278384,0.05317056818750521,TRUE,TRUE,0.02040052893685439
"Sporting equipment, supplies, guns, and ammunition (part of 80)",0.07553611778299074,0.022495179907660923,0.05304093787532982,TRUE,TRUE,0.00609199392855746
Video streaming and rental,0.14102404447788475,0.09118192612592346,0.049842118351961284,TRUE,TRUE,0.0027629949155382
Motor vehicle leasing,0.009139941255442707,-0.040329575034793175,0.04946951629023588,TRUE,TRUE,0.00282366823808548
"Games, toys, and hobbies",0.12713340573064924,0.07905246450549552,0.04808094122515372,TRUE,TRUE,0.00670610697309294
Furniture and furnishings (parts of 31 and 32),0.06515717624231199,0.019405350116414644,0.045751826125897344,TRUE,TRUE,0.01382478319796425
Processed fruits and vegetables,0.04400218182775206,-1.29491060860909e-4,0.04413167288861297,TRUE,TRUE,0.00230539942593415
Recreational goods and vehicles,0.11183245847041734,0.0690010523857365,0.042831406084680834,TRUE,TRUE,0.03334421778798891
Furniture,0.047164609922575984,0.004488570901754363,0.04267603902082162,TRUE,TRUE,0.00779210806820204
Spirits,0.056445748093412185,0.013976375600100122,0.04246937249331206,TRUE,TRUE,0.00259900412611288
Video and audio equipment,0.1303185128930211,0.08878708726667939,0.04153142562634171,TRUE,TRUE,0.00440322976380048
Used truck margin,0.02833795522373772,-0.012854887437597884,0.041192842661335605,TRUE,TRUE,0.00260428209797419
Other household services,0.04245224412536408,0.002890162766471027,0.03956208135889305,TRUE,TRUE,0.00217088120504411
"Pleasure boats, aircraft, and other recreational vehicles",0.024101596371471024,-0.01452616063295542,0.038627757004426444,TRUE,TRUE,0.00353918373315994
Electricity and gas,0.034052572746947396,-0.003165408641360723,0.03721798138830812,TRUE,TRUE,0.01606353071375601
Net purchases of used motor vehicles,0.010170989660513996,-0.02593582827086649,0.036106817931380486,TRUE,TRUE,0.01030974735376269
Sugar and sweets,0.028791368497041336,-0.007107053791361118,0.035898422288402454,TRUE,TRUE,0.00368916220790921
Cellular telephone services,0.10940065575353985,0.0744214646360053,0.03497919111753456,TRUE,TRUE,0.00800640306731436
Sports and recreational vehicles,0.026166764823706057,-0.008718159612641885,0.03488492443634794,TRUE,TRUE,0.00482766277533789
Furnishings and durable household equipment,0.057527840588083023,0.022695791711752733,0.03483204887633029,TRUE,TRUE,0.02392331826184336
Cereals,0.042107458417854016,0.007666383261321075,0.03444107515653294,TRUE,TRUE,0.00379014428900791
New light trucks,0.07521398485392661,0.04473867421833799,0.030475310635588615,TRUE,TRUE,0.01695018327874057
Poultry,0.023687308224058734,-0.005856028789576695,0.02954333701363543,TRUE,TRUE,0.00377856077554238
Alcoholic beverages purchased for off-premises consumption (5),0.04462891401718827,0.015212519049387474,0.029416394967800796,TRUE,TRUE,0.01102105915443434
"Food products, not elsewhere classified",0.03795510661640655,0.00882923087840548,0.029125875738001072,TRUE,TRUE,0.01197226178235988
Electricity (27),0.02842440607566421,2.3709440158103945e-4,0.02818731167408317,TRUE,TRUE,0.01276232279151091
Beer,0.037481044924184914,0.009961331546580743,0.02751971337760417,TRUE,TRUE,0.00497922931241712
Household paper products,0.013244162519951752,-0.013784323564223322,0.027028486084175074,TRUE,TRUE,0.00300704272947932
Household utilities,0.025382235344764803,-8.199484649700217e-4,0.026202183809734825,TRUE,TRUE,0.02301349866992774
Telecommunication services (71),0.07082484970921632,0.045174483215254524,0.025650366493961796,TRUE,TRUE,0.00865479957509057
"Recreational items (parts of 80, 92, and 93)",0.07686202498991301,0.0520057567803085,0.024856268209604515,TRUE,TRUE,0.01608814567987027
Market-based PCE durable goods other than motor vehicles and parts,0.0780986815711453,0.05327329511077705,0.02482538646036825,TRUE,TRUE,0.07168546052803353
Personal computers/tablets and peripheral equipment,0.13537760653201447,0.1111827613058578,0.02419484522615667,TRUE,TRUE,0.00495297957625732
Beef and veal,0.006826452832114693,-0.016214146688448117,0.02304059952056281,TRUE,TRUE,0.00317164071920727
Wine,0.04582235640796517,0.02382215554322542,0.02200020086473975,TRUE,TRUE,0.00344277900818875
Nonalcoholic beverages purchased for off-premises consumption,0.027612720505929333,0.005833091694306347,0.021779628811622986,TRUE,TRUE,0.00687850515132389
Food and beverages purchased for off-premises consumption,0.028506485244579993,0.006970206014474067,0.021536279230105926,TRUE,TRUE,0.07223577083307742
Market-based PCE food and beverages purchased for off-premises consumption,0.028497412090787932,0.006977256397209253,0.02152015569357868,TRUE,TRUE,0.07219420096620514
"Glassware, tableware, and household utensils (34)",0.0860024911187518,0.06537012528542041,0.02063236583333139,TRUE,TRUE,0.00293955008045637
Food and nonalcoholic beverages purchased for off-premises consumption (4),0.02569671159187137,0.005492258314156118,0.02020445327771525,TRUE,TRUE,0.0611731418117708
Cereals and bakery products,0.02645004327962619,0.0063495032724747436,0.020100540007151446,TRUE,TRUE,0.00991875706658544
Food purchased for off-premises consumption,0.025457260059637,0.0054720608177940555,0.019985199241842944,TRUE,TRUE,0.05429463666044691
"Household maintenance (parts of 31, 33, and 36)",0.021389472600300108,0.0015479852795039495,0.01984148732079616,TRUE,TRUE,0.00587456951250083
