item_name,qty_share_start,price_start,qty_share_end,price_end,price_change,qty_share_change,pre_behavior,price_chg_pre,qs_chg_pre
Expenditures abroad by U.S. residents,0.003550770222873764,105.412,0.0020629320419346025,157.791,49.68978863886464,-0.14878381809391616,Necessity-like pre-2020,12.015302056213795,0.018120044587330558
Accommodations (104),0.002770747410282601,102.557,0.002274164900781877,116.17499999999998,13.278469534015214,-0.04965825095007239,Necessity-like pre-2020,7.1483048633965485,0.01856321235578031
Admissions to specified spectator amusements,0.0027700449925219146,105.7,0.002665349478863429,125.874,19.086092715231786,-0.010469551365848567,Necessity-like pre-2020,16.032713101707017,0.0322318324015853
Passenger fares for foreign travel,0.0027735328600232536,111.335,0.0037561214144269267,106.909,-3.975389589976186,0.0982588554403673,Moderate price change pre-2020,-1.402775440802706,0.05797887285539181
Pleasure aircraft,0.0022285535629390043,108.518,0.001980591104926401,116.762,7.596896367422912,-0.02479624580126031,Necessity-like pre-2020,6.821671851006039,0.011754637623013781
Air transportation (64),0.0027727093357521044,112.059,0.0032149035933713172,131.477,17.328371661356968,0.044219425761921276,Necessity-like pre-2020,5.404795274331442,0.013258337013449806
Auto leasing,0.0020755233763177475,100.533,8.635478214880552e-4,133.38700000000003,32.679816577641205,-0.12119755548296923,Moderate price change pre-2020,-0.1291437767600767,-0.04202271730088937
Alcoholic beverages purchased for off-premises consumption (5),0.002681443469467062,101.922,0.002743582386646349,116.88,14.675928651321591,0.006213891717928716,Moderate price change pre-2020,3.2330598602248406,0.02489607240276819
"Repair and rental of audio-visual, photographic, and information processing equipment",0.00228636981103412,101.919,0.0023273688890410094,115.5,13.325287728490265,0.004099907800688947,Luxury-like pre-2020,6.580846213372915,-0.03740261537337479
Alcohol in purchased meals,0.0026907686707727256,104.136,0.0027054278127686135,130.42200000000005,25.241991242221772,0.0014659141995887904,Necessity-like pre-2020,9.036081502732806,0.00766291754553867
Household appliances (part of 33),0.00253158627341994,102.165,0.0026415629876907027,114.367,11.943424851955164,0.010997671427076267,Moderate price change pre-2020,-9.186666666666666,0.03282042268233001
