date,value
1984-01-01,60420
1985-01-01,61570
1986-01-01,63850
1987-01-01,64650
1988-01-01,65130
1989-01-01,66240
1990-01-01,65440
1991-01-01,63530
1992-01-01,63010
1993-01-01,62700
1994-01-01,63370
1995-01-01,65380
1996-01-01,66340
1997-01-01,67720
1998-01-01,70200
1999-01-01,71980
2000-01-01,71790
2001-01-01,70610
2002-01-01,70040
2003-01-01,70080
2004-01-01,69970
2005-01-01,71060
2006-01-01,71850
2007-01-01,73010
2008-01-01,70520
2009-01-01,70070
2010-01-01,68420
2011-01-01,67410
2012-01-01,67400
2013-01-01,69950
2014-01-01,69060
2015-01-01,72790
2016-01-01,75380
2017-01-01,76710
2018-01-01,77700
2019-01-01,83260
2020-01-01,81580
2021-01-01,81270
2022-01-01,79500
2023-01-01,82690
2024-01-01,83730
